Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8363,0,101,0,783,598,1023,393,-1
4,0,0,8363,0,101,0,783,598,1023,180,-1
8,0,0,8363,0,100,0,784,597,1023,178,-1
12,0,0,8087,0,100,0,785,595,1023,178,-1
16,0,0,8087,0,100,1,783,594,1023,178,-1
20,0,0,8087,1,100,1,784,592,1023,178,-1
24,0,0,8059,1,100,1,782,589,1023,178,-1
28,0,0,8059,2,100,2,783,583,1023,178,-1
32,0,0,8142,2,101,3,783,580,1023,178,-1
36,0,0,8142,3,101,3,783,581,1023,178,-1
40,0,0,8142,4,101,4,783,577,1023,179,-1
44,0,0,8170,5,101,5,784,569,1023,178,-1
48,0,0,8170,5,101,6,783,564,1023,178,-1
52,0,0,8170,6,101,7,784,573,1023,178,-1
56,0,0,8170,7,101,8,783,569,1023,178,-1
60,0,0,8170,8,100,9,783,554,1023,178,-1
64,0,0,8197,9,100,11,783,539,1023,178,-1
68,0,0,8197,10,100,12,782,540,1023,178,-1
72,0,0,8211,11,100,13,784,540,1023,178,-1
76,0,0,8211,12,100,14,783,547,1023,178,-1
80,0,0,8211,14,100,16,783,547,1023,178,-1
84,0,0,8211,15,100,17,783,545,1023,178,-1
88,0,0,8211,16,101,18,783,540,1023,178,-1
92,0,0,8239,17,101,20,783,542,1023,178,-1
96,0,0,8239,19,101,21,784,546,1023,178,-1
100,0,0,8239,20,101,23,783,548,1023,178,-1
104,0,0,8225,21,101,24,784,547,1023,178,-1
108,0,0,8225,23,101,26,784,551,1023,179,-1
112,0,0,8225,24,101,27,784,556,1023,179,-1
116,0,0,8225,26,101,29,784,561,1023,178,-1
120,0,0,8225,27,100,30,784,565,1023,178,-1
124,0,0,8239,29,100,32,783,571,1023,178,-1
128,0,0,8239,30,100,33,784,573,1023,178,-1
132,0,0,8253,31,100,35,782,574,1023,178,-1
136,0,0,8253,33,100,37,784,579,1023,178,-1
140,0,0,8253,35,100,38,782,584,1023,178,-1
144,0,0,8267,36,100,40,783,589,1023,179,-1
148,0,0,8267,38,100,41,783,594,1023,178,-1
152,0,0,8253,39,101,43,784,594,1023,178,-1
156,0,0,8253,41,101,45,783,593,1023,178,-1
160,0,0,8253,42,101,47,784,601,1023,179,-1
164,0,0,8280,44,101,48,783,603,1023,178,-1
168,0,0,8280,46,101,50,784,604,1023,178,-1
172,0,0,8280,47,101,51,783,603,1023,178,-1
176,0,0,8280,49,101,53,783,607,1023,178,-1
180,0,0,8280,51,101,55,783,613,1023,178,-1
184,0,0,8267,52,100,57,783,615,1023,178,-1
188,0,0,8267,54,100,58,783,615,1023,178,-1
192,0,0,8267,55,100,60,783,617,1023,178,-1
196,0,0,8267,57,100,62,782,621,1023,179,-1
200,0,0,8267,59,100,63,783,621,1023,178,-1
204,0,0,8280,61,100,65,784,622,1023,178,-1
208,0,0,8280,62,100,67,782,625,1023,178,-1
212,0,0,8280,64,100,69,783,628,1023,178,-1
216,0,0,8280,65,101,70,782,629,1023,178,-1
220,0,0,8280,67,101,72,783,627,1023,178,-1
224,0,0,8267,69,101,74,783,627,1023,178,-1
228,0,0,8267,71,101,75,783,627,1023,178,-1
232,0,0,8267,72,101,77,784,631,1023,177,-1
236,0,0,8267,74,101,79,783,630,1023,178,-1
240,0,0,8267,76,101,81,782,628,1023,178,-1
244,0,0,8267,77,101,82,784,624,1023,178,-1
248,0,0,8267,79,100,84,782,626,1023,177,-1
252,0,0,8308,81,100,86,782,626,1023,178,-1
256,0,0,8308,83,100,87,782,625,1023,178,-1
260,0,0,8308,84,100,89,782,621,1023,178,-1
264,0,0,8294,86,100,91,783,619,1023,178,-1
268,0,0,8294,88,100,93,783,616,1023,178,-1
272,0,0,8280,89,100,94,782,618,1023,178,-1
276,0,0,8280,91,100,96,783,617,1023,178,-1
280,0,0,8280,93,101,98,782,611,1023,178,-1
284,0,0,8294,95,101,100,783,609,1023,178,-1
288,0,0,8294,97,101,101,784,607,1023,178,-1
292,0,0,8280,98,101,103,782,605,1023,178,-1
296,0,0,8280,100,101,105,783,604,1023,178,-1
300,0,0,8280,102,101,107,783,603,1023,178,-1
304,0,0,8267,103,101,108,783,601,1023,178,-1
308,0,0,8267,105,101,110,783,598,1023,178,-1
312,0,0,8294,107,100,112,783,597,1023,178,-1
316,0,0,8294,109,100,114,783,598,1023,178,-1
320,0,0,8294,111,100,115,783,598,1023,178,-1
324,0,0,8280,112,100,117,783,595,1023,178,-1
328,0,0,8280,114,100,119,784,594,1023,178,-1
332,0,0,8280,116,100,121,782,593,1023,178,-1
336,0,0,8280,117,100,123,783,596,1023,178,-1
340,0,0,8280,119,100,124,782,596,1023,178,-1
344,0,0,8294,121,101,126,782,594,1023,178,-1
348,0,0,8294,123,101,128,783,595,1023,178,-1
352,0,0,8280,125,101,130,783,598,1023,177,-1
356,0,0,8280,126,101,131,783,599,1023,178,-1
360,0,0,8280,128,101,133,783,599,1023,178,-1
364,0,0,8294,130,101,135,781,601,1023,179,-1
368,0,0,8294,132,101,137,783,601,1023,178,-1
372,0,0,8308,133,101,139,782,603,1023,178,-1
376,0,0,8308,135,100,140,782,604,1023,178,-1
380,0,0,8308,137,100,142,783,606,1023,178,-1
384,0,0,8280,139,100,144,782,607,1023,178,-1
388,0,0,8280,141,100,146,782,611,1023,178,-1
392,0,0,8294,142,100,148,783,611,1023,178,-1
396,0,0,8294,144,100,149,782,608,1023,178,-1
400,0,0,8294,146,100,151,782,611,1023,179,-1
404,0,0,8294,147,100,153,783,612,1023,178,-1
408,0,0,8294,149,101,155,782,613,1023,178,-1
412,0,0,8294,151,101,157,783,612,1023,179,-1
416,0,0,8294,153,101,158,782,610,1023,178,-1
420,0,0,8294,155,101,160,783,613,1023,179,-1
424,0,0,8280,156,101,162,783,614,1023,183,-1
428,0,0,8280,158,101,164,783,613,1023,1023,-1
432,0,0,8294,160,101,165,783,612,1023,1023,-1
436,0,0,8294,162,101,167,784,614,1023,1023,-1
440,0,0,8294,163,100,169,782,615,1023,1023,-1
444,0,0,8280,165,100,171,784,614,1023,1023,-1
448,0,0,8280,167,100,173,782,614,1023,1023,-1
452,0,0,8294,169,100,175,782,615,1023,1023,-1
456,0,0,8294,171,100,176,782,616,1023,1023,-1
460,0,0,8294,172,100,178,782,615,1023,1023,-1
464,0,0,8294,174,100,180,783,614,1023,1023,-1
468,0,0,8294,176,100,182,783,613,1023,1023,-1
472,0,0,8294,178,100,184,782,613,1023,1023,-1
476,0,0,8294,179,101,185,783,613,1023,1023,-1
480,0,0,8294,181,101,187,782,613,1023,1023,-1
484,0,0,8294,183,101,189,782,612,1023,1023,-1
488,0,0,8294,185,101,191,783,612,1023,1023,-1
492,0,0,8294,187,101,193,783,610,1023,1023,-1
496,0,0,8294,188,101,194,783,609,1023,1023,-1
500,0,0,8294,190,101,196,783,608,1023,1023,-1
504,0,0,8280,192,101,198,783,607,1023,1023,-1
508,0,0,8280,194,100,200,783,604,1023,1023,-1
512,0,0,8280,195,100,202,783,602,1023,1023,-1
516,0,0,8280,197,100,203,783,603,1023,1023,-1
520,0,0,8280,199,100,205,784,603,1023,1023,-1
524,0,0,8308,201,100,207,782,601,1023,1023,-1
528,0,0,8308,202,100,209,783,595,1023,1023,-1
532,0,0,8294,204,100,211,782,597,1023,1023,-1
536,0,0,8294,206,100,212,783,598,1023,1023,-1
540,0,0,8294,208,101,214,783,594,1023,1023,-1
544,0,0,8308,209,101,216,783,591,1023,1023,-1
548,0,0,8308,211,101,218,783,590,1023,1023,-1
552,0,0,8294,213,101,220,784,589,1023,1023,-1
556,0,0,8294,215,101,221,782,589,1023,1023,-1
560,0,0,8294,217,101,223,783,588,1023,1023,-1
564,0,0,8280,218,101,225,782,586,1023,1023,-1
568,0,0,8280,220,101,227,783,585,1023,1023,-1
572,0,0,8308,222,100,229,784,586,1023,1023,-1
576,0,0,8308,224,100,231,783,583,1023,1023,-1
580,0,0,8308,225,100,232,782,581,1023,1023,-1
584,0,0,8294,227,100,234,783,581,1023,1023,-1
588,0,0,8294,229,100,236,782,580,1023,1023,-1
592,0,0,8294,231,100,238,783,579,1023,1023,-1
596,0,0,8294,233,100,239,784,578,1023,1023,-1
600,0,0,8294,234,100,241,782,580,1023,1023,-1
604,0,0,8308,236,101,243,783,577,1023,1023,-1
608,0,0,8308,238,101,245,782,576,1023,1023,-1
612,0,0,8280,240,101,247,783,575,1023,1023,-1
616,0,0,8280,241,101,249,783,578,1023,1023,-1
620,0,0,8280,243,101,250,783,579,1023,1023,-1
624,0,0,8280,245,101,252,783,577,1023,1023,-1
628,0,0,8280,247,101,254,784,575,1023,1023,-1
632,0,0,8280,249,101,256,782,575,1023,1023,-1
636,0,0,8280,250,100,257,783,578,1023,1023,-1
640,0,0,8280,252,100,259,781,578,1023,1023,-1
644,0,0,8294,254,100,261,783,576,1023,1023,-1
648,0,0,8294,256,100,263,783,576,1023,1023,-1
652,0,0,8294,257,100,265,782,580,1023,1023,-1
656,0,0,8294,259,100,267,782,580,1023,1023,-1
660,0,0,8294,261,100,268,783,578,1023,1023,-1
664,0,0,8294,263,100,270,782,575,1023,1023,-1
668,0,0,8294,265,101,272,782,577,1023,1023,-1
672,0,0,8294,266,101,274,782,580,1023,1023,-1
676,0,0,8294,268,101,276,782,577,1023,1023,-1
680,0,0,8294,270,101,277,783,576,1023,1023,-1
684,0,0,8294,272,101,279,783,576,1023,1023,-1
688,0,0,8294,273,101,281,783,579,1023,1023,-1
692,0,0,8294,275,101,283,783,577,1023,1023,-1
696,0,0,8294,277,101,285,782,577,1023,1023,-1
700,0,0,8294,279,100,286,783,579,1023,1023,-1
704,0,0,8280,281,100,288,783,578,1023,1023,-1
708,0,0,8280,282,100,290,782,575,1023,1023,-1
712,0,0,8294,284,100,292,783,576,1023,1023,-1
716,0,0,8294,286,100,293,781,578,1023,1022,-1
720,0,0,8294,288,100,295,783,578,1023,1023,-1
724,0,0,8322,289,100,297,782,576,1023,1023,-1
728,0,0,8322,291,100,299,782,575,1023,1023,-1
732,0,0,8322,293,101,301,783,575,1023,1023,-1
736,0,0,8322,295,101,303,783,576,1023,1023,-1
740,0,0,8322,297,101,304,782,575,1023,1023,-1
744,0,0,8294,298,101,306,783,574,1023,1023,-1
748,0,0,8294,300,101,308,781,574,1023,1023,-1
752,0,0,8308,302,101,310,782,576,1023,1023,-1
756,0,0,8308,303,101,312,782,576,1023,1023,-1
760,0,0,8308,305,101,313,782,572,1023,1023,-1
764,0,0,8308,307,100,315,783,575,1023,1023,-1
768,0,0,8308,309,100,317,783,576,1023,1023,-1
772,0,0,8294,311,100,319,782,576,1023,1023,-1
776,0,0,8294,312,100,321,783,573,1023,1023,-1
780,0,0,8294,314,100,323,782,574,1023,1023,-1
784,0,0,8280,316,100,324,782,576,1023,1023,-1
788,0,0,8280,318,100,326,784,577,1023,1023,-1
792,0,0,8280,319,100,328,782,576,1023,1023,-1
796,0,0,8280,321,101,330,783,577,1023,1023,-1
800,0,0,8280,323,101,331,783,578,1023,1023,-1
804,0,0,8280,325,101,333,783,583,1023,1023,-1
808,0,0,8280,327,101,335,783,584,1023,1023,-1
812,0,0,8294,328,101,337,783,585,1023,1023,-1
816,0,0,8294,330,101,339,783,585,1023,1023,-1
820,0,0,8294,332,101,341,784,587,1023,1023,-1
824,0,0,8294,334,101,342,782,590,1023,1023,-1
828,0,0,8294,335,100,344,783,587,1023,1023,-1
832,0,0,8294,337,100,346,782,588,1023,1023,-1
836,0,0,8294,339,100,348,782,591,1023,1022,-1
840,0,0,8294,341,100,349,783,593,1023,1022,-1
844,0,0,8280,343,100,351,783,594,1023,1023,-1
848,0,0,8280,344,100,353,782,594,1023,1023,-1
852,0,0,8280,346,100,355,783,605,1023,1023,-1
856,0,0,8280,348,100,357,782,604,1023,1023,-1
860,0,0,8280,349,101,358,782,600,1023,1023,-1
864,0,0,8280,351,101,360,782,602,1023,1023,-1
868,0,0,8280,353,101,362,782,605,1023,1023,-1
872,0,0,8294,355,101,364,783,608,1023,1023,-1
876,0,0,8294,357,101,366,782,606,1023,1023,-1
880,0,0,8294,358,101,367,783,604,1023,1023,-1
884,0,0,8294,360,101,369,782,605,1023,1023,-1
888,0,0,8294,362,101,371,782,611,1023,1023,-1
892,0,0,8280,364,100,373,783,609,1023,1023,-1
896,0,0,8280,365,100,375,783,607,1023,1023,-1
900,0,0,8280,367,100,376,782,611,1023,1022,-1
904,0,0,8294,369,100,378,783,613,1023,1023,-1
908,0,0,8294,371,100,380,781,611,1023,1023,-1
912,0,0,8294,373,100,382,782,607,1023,1023,-1
916,0,0,8294,374,100,383,782,609,1023,1023,-1
920,0,0,8294,376,100,385,782,611,1023,1023,-1
924,0,0,8308,378,101,387,782,608,1023,1023,-1
928,0,0,8308,380,101,389,783,606,1023,1023,-1
932,0,0,8280,381,101,391,782,607,1023,1023,-1
936,0,0,8280,383,101,392,784,610,1023,1023,-1
940,0,0,8280,385,101,394,782,609,1023,1023,-1
944,0,0,8280,387,101,396,784,608,1023,1023,-1
948,0,0,8280,389,101,398,782,605,1023,1023,-1
952,0,0,8280,390,101,399,782,605,1023,1023,-1
956,0,0,8280,392,100,401,782,607,1023,1023,-1
960,0,0,8280,394,100,403,782,604,1023,1023,-1
964,0,0,8294,396,100,405,782,605,1023,1023,-1
968,0,0,8294,397,100,407,782,605,1023,1023,-1
972,0,0,8294,399,100,408,782,605,1023,1023,-1
976,0,0,8294,401,100,410,782,604,1023,1023,-1
980,0,0,8294,403,100,412,781,603,1023,1023,-1
984,0,0,8294,405,100,414,782,604,1023,1023,-1
988,0,0,8294,406,101,415,783,602,1023,1023,-1
992,0,0,8294,408,101,417,782,600,1023,1023,-1
996,0,0,8294,410,101,419,783,601,1023,1022,-1
1000,0,0,8294,412,101,421,782,599,1023,1023,-1
1004,0,0,8267,413,101,423,782,603,1023,1023,-1
1008,0,0,8267,415,101,424,782,602,1023,1023,-1
1012,0,0,8280,417,101,426,782,599,1023,1023,-1
1016,0,0,8280,419,101,428,782,598,1023,1023,-1
1020,0,0,8280,420,100,430,783,600,1023,1023,-1
1024,0,0,8280,422,100,431,781,600,1023,1023,-1
1028,0,0,8280,424,100,433,783,597,1023,1023,-1
1032,0,0,8294,426,100,435,781,596,1023,1023,-1
1036,0,0,8294,427,100,437,781,597,1023,1023,-1
1040,0,0,8294,429,100,439,781,598,1023,1023,-1
1044,0,0,8294,431,100,440,782,598,1023,1023,-1
1048,0,0,8294,433,100,442,782,595,1023,1023,-1
1052,0,0,8280,435,101,444,782,595,1023,1023,-1
