Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8724,0,0,0,831,609,1023,1023,-1
4,0,0,8710,0,0,0,831,611,1023,1023,-1
8,0,0,8710,0,0,0,831,611,1023,1023,-1
12,0,0,7920,1,0,0,831,612,1023,1023,-1
16,0,0,7920,1,0,0,830,611,1023,1023,-1
20,0,0,7920,2,0,0,830,611,1023,1023,-1
24,0,0,7796,3,0,0,830,611,1023,1023,-1
28,0,0,7796,4,0,0,830,606,1023,1023,-1
32,0,0,7893,5,0,0,830,603,1023,1023,-1
36,0,0,7893,7,0,1,830,604,1023,1023,-1
40,0,0,7893,9,0,1,830,609,1023,1023,-1
44,0,0,8017,10,0,1,830,609,1023,1023,-1
48,0,0,8017,12,0,1,830,610,1023,1023,-1
52,0,0,8114,14,0,1,830,612,1023,1023,-1
56,0,0,8114,16,0,1,830,611,1023,1023,-1
60,0,0,8114,19,0,1,830,610,1023,1023,-1
64,0,0,8183,21,0,2,830,611,1023,1023,-1
68,0,0,8183,23,0,2,830,612,1023,1023,-1
72,0,0,8225,26,0,2,830,612,1023,1023,-1
76,0,0,8225,29,0,2,830,607,1023,1023,-1
80,0,0,8225,31,0,3,830,607,1023,1023,-1
84,0,0,8322,34,0,3,830,611,1023,1023,-1
88,0,0,8322,37,0,3,829,605,1023,1023,-1
92,0,0,8350,40,0,3,829,607,1023,1023,-1
96,0,0,8350,43,0,3,829,610,1023,1023,-1
100,0,0,8350,46,0,4,829,605,1023,1023,-1
104,0,0,8377,49,0,4,829,610,1023,1023,-1
108,0,0,8377,52,0,4,830,612,1023,1023,-1
112,0,0,8419,55,0,5,829,608,1023,1023,-1
116,0,0,8419,58,0,5,829,612,1023,1023,-1
120,0,0,8419,61,0,5,829,608,1023,1023,-1
124,0,0,8433,65,0,5,829,615,1023,1023,-1
128,0,0,8433,68,0,6,829,613,1023,1023,-1
132,0,0,8447,71,0,6,829,613,1023,1023,-1
136,0,0,8447,75,0,6,830,614,1023,1023,-1
140,0,0,8447,78,0,7,829,610,1023,1023,-1
144,0,0,8488,81,0,7,829,613,1023,1023,-1
148,0,0,8488,85,0,7,829,606,1023,1022,-1
152,0,0,8502,88,0,8,829,608,1023,1023,-1
156,0,0,8502,91,0,8,829,605,1023,1023,-1
160,0,0,8502,95,0,8,830,601,1023,1023,-1
164,0,0,8502,99,0,9,829,596,1023,1023,-1
168,0,0,8502,102,0,9,829,594,1023,1023,-1
172,0,0,8530,106,0,9,829,589,1023,1023,-1
176,0,0,8530,109,0,9,829,588,1023,1023,-1
180,0,0,8530,113,0,10,829,589,1023,1023,-1
184,0,0,8544,116,0,10,829,584,1023,1023,-1
188,0,0,8544,120,0,10,829,584,1023,1023,-1
192,0,0,8530,123,0,11,830,580,1023,1023,-1
196,0,0,8530,127,0,11,829,585,1023,1023,-1
200,0,0,8530,131,0,11,829,583,1023,1023,-1
204,0,0,8571,135,0,12,829,589,1023,1023,-1
208,0,0,8571,138,0,12,829,587,1023,1023,-1
212,0,0,8571,142,0,12,829,590,1023,1023,-1
216,0,0,8571,145,0,13,830,589,1023,1023,-1
220,0,0,8571,149,0,13,830,595,1023,1023,-1
224,0,0,8544,153,0,13,829,592,1023,1023,-1
228,0,0,8544,157,0,14,829,597,1023,1023,-1
232,0,0,8599,160,0,14,830,596,1023,1023,-1
236,0,0,8599,164,0,14,830,600,1023,1023,-1
240,0,0,8599,168,0,15,830,600,1023,1023,-1
244,0,0,8585,171,0,15,830,604,1023,1023,-1
248,0,0,8585,175,0,15,829,603,1023,1023,-1
252,0,0,8585,179,0,15,830,607,1023,1023,-1
256,0,0,8585,183,0,16,830,607,1023,1023,-1
260,0,0,8585,186,0,16,830,611,1023,1023,-1
264,0,0,8599,190,0,17,831,610,1023,1023,-1
268,0,0,8599,194,0,17,831,617,1023,1023,-1
272,0,0,8585,198,0,17,830,615,1023,1023,-1
276,0,0,8585,201,0,17,830,617,1023,1023,-1
280,0,0,8585,205,0,18,830,616,1023,1023,-1
284,0,0,8599,209,0,18,831,617,1023,1023,-1
288,0,0,8599,213,0,18,831,618,1023,1023,-1
292,0,0,8599,217,0,19,829,618,1023,1023,-1
296,0,0,8599,220,0,19,829,618,1023,1023,-1
300,0,0,8599,224,0,19,829,617,1023,1023,-1
304,0,0,8585,228,0,20,828,612,1023,1023,-1
308,0,0,8585,232,0,20,828,613,1023,1023,-1
312,0,0,8599,235,0,20,829,610,1023,1023,-1
316,0,0,8599,239,0,21,832,612,1023,1023,-1
320,0,0,8599,243,0,21,832,609,1023,1023,-1
324,0,0,8599,247,0,21,831,608,1023,1022,-1
328,0,0,8599,251,0,22,832,605,1023,1023,-1
332,0,0,8599,255,0,22,831,607,1023,1023,-1
336,0,0,8599,258,0,22,831,605,1023,1023,-1
340,0,0,8599,262,0,23,830,606,1023,1023,-1
344,0,0,8613,266,0,23,831,604,1023,1023,-1
348,0,0,8613,270,0,23,831,609,1023,1023,-1
352,0,0,8627,273,0,24,831,610,1023,1023,-1
356,0,0,8627,277,0,24,831,613,1023,1023,-1
360,0,0,8627,281,0,24,831,613,1023,1023,-1
364,0,0,8613,285,0,25,831,615,1023,1023,-1
368,0,0,8613,289,0,25,831,616,1023,1023,-1
372,0,0,8613,293,0,25,831,618,1023,1023,-1
376,0,0,8613,296,0,26,830,619,1023,1023,-1
380,0,0,8613,300,0,26,830,619,1023,1023,-1
384,0,0,8599,304,0,26,830,618,1023,1023,-1
388,0,0,8599,308,0,27,830,621,1023,1023,-1
392,0,0,8627,312,0,27,830,619,1023,1023,-1
396,0,0,8627,315,0,27,830,620,1023,1023,-1
400,0,0,8627,319,0,27,829,621,1023,1023,-1
404,0,0,8613,323,0,28,830,622,1023,1023,-1
408,0,0,8613,327,0,28,830,623,1023,1023,-1
412,0,0,8613,331,0,28,830,622,1023,1023,-1
416,0,0,8613,335,0,29,830,624,1023,1023,-1
420,0,0,8613,338,0,29,830,626,1023,1023,-1
424,0,0,8613,342,0,29,830,628,1023,1023,-1
428,0,0,8613,346,0,30,830,629,1023,1023,-1
432,0,0,8613,350,0,30,830,629,1023,1023,-1
436,0,0,8613,354,0,30,831,625,1023,1023,-1
440,0,0,8613,357,0,31,831,627,1023,1023,-1
444,0,0,8627,361,0,31,830,630,1023,1023,-1
448,0,0,8627,365,0,31,831,628,1023,1023,-1
452,0,0,8627,369,0,32,830,624,1023,1023,-1
456,0,0,8627,373,0,32,831,623,1023,1023,-1
460,0,0,8627,377,0,32,832,622,1023,1023,-1
464,0,0,8613,381,0,33,831,620,1023,1023,-1
468,0,0,8613,384,0,33,831,620,1023,1023,-1
472,0,0,8613,388,0,33,830,616,1023,1023,-1
476,0,0,8613,392,0,34,830,612,1023,1023,-1
480,0,0,8613,396,0,34,830,613,1023,1023,-1
