Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8100,0,0,0,664,596,1023,1023,-1
4,0,0,8114,0,0,0,664,596,1023,1023,-1
8,0,0,8114,0,0,0,664,595,1023,1023,-1
12,0,0,7754,0,0,0,663,594,1023,1023,-1
16,0,0,7754,0,0,-1,663,595,1023,1023,-1
20,0,0,7754,0,0,-2,663,595,1023,1023,-1
24,0,0,7740,0,0,-2,663,597,1023,1023,-1
28,0,0,7740,0,0,-3,664,599,1023,1023,-1
32,0,0,7754,0,0,-5,663,600,1023,1023,-1
36,0,0,7754,0,0,-6,663,600,1023,1023,-1
40,0,0,7754,0,0,-7,663,600,1023,1023,-1
44,0,0,7754,0,0,-9,663,599,1023,1023,-1
48,0,0,7754,0,0,-11,663,601,1023,1023,-1
52,0,0,7810,0,0,-12,663,601,1023,1023,-1
56,0,0,7810,0,0,-14,663,600,1023,1023,-1
60,0,0,7810,0,0,-16,664,600,1023,1023,-1
64,0,0,7865,0,0,-19,662,602,1023,1023,-1
68,0,0,7865,0,0,-21,663,602,1023,1023,-1
72,0,0,7893,0,0,-23,662,601,1023,1023,-1
76,0,0,7893,0,0,-26,662,600,1023,1023,-1
80,0,0,7893,0,0,-28,663,604,1023,1023,-1
84,0,0,7934,0,0,-31,662,602,1023,1023,-1
88,0,0,7934,0,0,-34,662,601,1023,1023,-1
92,0,0,7948,0,0,-36,663,606,1023,1023,-1
96,0,0,7948,0,0,-39,662,604,1023,1023,-1
100,0,0,7948,0,0,-42,662,601,1023,1023,-1
104,0,0,7962,0,0,-45,661,606,1023,1023,-1
108,0,0,7962,0,0,-48,662,603,1023,1023,-1
112,0,0,7990,0,0,-51,663,601,1023,1023,-1
116,0,0,7990,0,0,-54,662,605,1023,1023,-1
120,0,0,7990,0,0,-57,662,603,1023,1023,-1
124,0,0,7990,0,0,-60,663,603,1023,1023,-1
128,0,0,7990,0,0,-63,662,603,1023,1023,-1
132,0,0,8017,0,0,-66,662,601,1023,1023,-1
136,0,0,8017,0,0,-69,663,606,1023,1023,-1
140,0,0,8017,0,0,-72,662,600,1023,1023,-1
144,0,0,8031,0,0,-76,663,604,1023,1023,-1
148,0,0,8031,0,0,-79,662,604,1023,1023,-1
152,0,0,8045,0,0,-82,662,604,1023,1023,-1
156,0,0,8045,0,0,-86,662,604,1023,1023,-1
160,0,0,8045,0,0,-89,662,599,1023,1023,-1
164,0,0,8059,0,0,-92,662,605,1023,1023,-1
168,0,0,8059,0,0,-96,663,599,1023,1023,-1
172,0,0,8059,0,0,-99,661,602,1023,1023,-1
176,0,0,8059,0,0,-102,662,597,1023,1023,-1
180,0,0,8059,0,0,-106,661,601,1023,1023,-1
184,0,0,8059,0,0,-109,661,603,1023,1023,-1
188,0,0,8059,0,0,-113,662,599,1023,1023,-1
192,0,0,8059,0,0,-116,661,599,1023,1023,-1
