Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8142,0,0,0,791,595,1023,1023,-1
4,0,0,8128,0,0,0,790,594,1023,1023,-1
8,0,0,8128,0,0,0,790,594,1023,1023,-1
12,0,0,7768,0,0,0,789,593,1023,1023,-1
16,0,0,7768,0,0,1,789,593,1023,1023,-1
20,0,0,7768,0,0,1,789,591,1023,1023,-1
24,0,0,7754,0,0,2,789,591,1023,1023,-1
28,0,0,7754,0,0,3,789,591,1023,1023,-1
32,0,0,7754,0,0,4,789,591,1023,1023,-1
36,0,0,7754,0,0,6,789,592,1023,1023,-1
40,0,0,7754,0,0,7,790,586,1023,1023,-1
44,0,0,7782,0,0,9,789,586,1023,1023,-1
48,0,0,7782,0,0,11,789,589,1023,1023,-1
52,0,0,7837,0,0,12,789,590,1023,1023,-1
56,0,0,7837,0,0,14,789,589,1023,1023,-1
60,0,0,7837,0,0,17,790,589,1023,1023,-1
64,0,0,7879,0,0,19,790,591,1023,1023,-1
68,0,0,7879,0,0,21,789,592,1023,1023,-1
72,0,0,7920,0,0,23,790,592,1023,1023,-1
76,0,0,7920,0,0,26,789,590,1023,1023,-1
80,0,0,7920,0,0,28,790,593,1023,1023,-1
84,0,0,7920,0,0,31,791,592,1023,1023,-1
88,0,0,7920,0,0,34,790,591,1023,1023,-1
92,0,0,7962,0,0,36,791,591,1023,1023,-1
96,0,0,7962,0,0,39,790,594,1023,1023,-1
100,0,0,7962,0,0,42,790,593,1023,1023,-1
104,0,0,7990,0,0,45,790,594,1023,1023,-1
108,0,0,7990,0,0,48,791,594,1023,1023,-1
112,0,0,8003,0,0,51,790,595,1023,1023,-1
116,0,0,8003,0,0,54,791,594,1023,1023,-1
120,0,0,8003,0,0,57,790,595,1023,1023,-1
124,0,0,8031,0,0,60,791,596,1023,1023,-1
128,0,0,8031,0,0,63,789,597,1023,1023,-1
132,0,0,8045,0,0,66,790,596,1023,1023,-1
136,0,0,8045,0,0,69,790,597,1023,1023,-1
140,0,0,8045,0,0,73,790,595,1023,1023,-1
144,0,0,8031,0,0,76,790,596,1023,1023,-1
148,0,0,8031,0,0,79,791,598,1023,1023,-1
152,0,0,8031,0,0,83,790,600,1023,1023,-1
156,0,0,8031,0,0,86,790,597,1023,1023,-1
160,0,0,8031,0,0,89,790,596,1023,1023,-1
164,0,0,8073,0,0,93,790,597,1023,1023,-1
168,0,0,8073,0,0,96,790,600,1023,1023,-1
172,0,0,8073,0,0,99,790,599,1023,1023,-1
176,0,0,8073,0,0,103,790,597,1023,1023,-1
180,0,0,8073,0,0,106,791,598,1023,1023,-1
184,0,0,8059,0,0,109,790,599,1023,1023,-1
188,0,0,8059,0,0,113,790,600,1023,1023,-1
192,0,0,8073,0,0,117,791,599,1023,1023,-1
196,0,0,8073,0,0,120,790,600,1023,1023,-1
200,0,0,8073,0,0,123,791,598,1023,1023,-1
204,0,0,8087,0,0,127,790,598,1023,1023,-1
208,0,0,8087,0,0,130,790,598,1023,1023,-1
212,0,0,8087,0,0,134,790,599,1023,1023,-1
216,0,0,8087,0,0,137,790,599,1023,1023,-1
220,0,0,8087,0,0,141,790,597,1023,1023,-1
224,0,0,8087,0,0,144,791,599,1023,1023,-1
228,0,0,8087,0,0,148,790,596,1023,1023,-1
232,0,0,8100,0,0,151,791,597,1023,1023,-1
236,0,0,8100,0,0,155,789,594,1023,1023,-1
240,0,0,8100,0,0,159,790,596,1023,1023,-1
244,0,0,8100,0,0,162,790,594,1023,1023,-1
248,0,0,8100,0,0,165,790,595,1023,1023,-1
252,0,0,8100,0,0,169,790,596,1023,1023,-1
256,0,0,8100,0,0,173,791,596,1023,1023,-1
260,0,0,8100,0,0,176,790,596,1023,1023,-1
264,0,0,8100,0,0,180,791,593,1023,1023,-1
268,0,0,8100,0,0,183,790,594,1023,1023,-1
272,0,0,8087,0,0,187,790,594,1023,1023,-1
276,0,0,8087,0,0,190,791,595,1023,1023,-1
280,0,0,8087,0,0,194,791,595,1023,1023,-1
284,0,0,8100,0,0,197,790,594,1023,1023,-1
288,0,0,8100,0,0,201,791,593,1023,1023,-1
292,0,0,8114,0,0,205,790,596,1023,1023,-1
296,0,0,8114,0,0,208,790,596,1023,1023,-1
300,0,0,8114,0,0,212,791,597,1023,1023,-1
304,0,0,8114,0,0,216,791,595,1023,1023,-1
308,0,0,8114,0,0,219,791,597,1023,1023,-1
312,0,0,8100,0,0,223,790,595,1023,1023,-1
316,0,0,8100,0,0,226,791,598,1023,1023,-1
320,0,0,8100,0,0,230,790,597,1023,1023,-1
324,0,0,8100,0,0,233,791,597,1023,1023,-1
328,0,0,8100,0,0,237,791,595,1023,1023,-1
332,0,0,8100,0,0,241,790,594,1023,1023,-1
336,0,0,8100,0,0,244,790,596,1023,1023,-1
