Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8170,0,0,0,699,600,1023,1023,-1
4,0,0,8170,0,0,0,699,601,1023,1023,-1
8,0,0,8170,0,0,0,698,600,1023,1023,-1
12,0,0,7671,-1,0,0,697,600,1023,1023,-1
16,0,0,7671,-1,0,0,697,601,1023,1023,-1
20,0,0,7671,-2,0,0,697,602,1023,1023,-1
24,0,0,7740,-3,0,0,697,603,1023,1023,-1
28,0,0,7740,-4,0,0,697,602,1023,1023,-1
32,0,0,7768,-5,0,0,697,606,1023,1023,-1
36,0,0,7768,-7,0,0,697,608,1023,1023,-1
40,0,0,7768,-9,0,0,697,606,1023,1023,-1
44,0,0,7851,-10,0,0,697,604,1023,1023,-1
48,0,0,7851,-12,0,0,697,605,1023,1023,-1
52,0,0,7879,-14,0,0,697,605,1023,1023,-1
56,0,0,7879,-16,0,0,697,605,1023,1023,-1
60,0,0,7879,-19,0,0,698,603,1023,1023,-1
64,0,0,7934,-21,0,0,696,604,1023,1023,-1
68,0,0,7934,-23,0,0,697,604,1023,1023,-1
72,0,0,7962,-26,0,0,697,602,1023,1023,-1
76,0,0,7962,-28,0,0,697,602,1023,1023,-1
80,0,0,7962,-31,0,0,698,603,1023,1023,-1
84,0,0,8003,-34,0,0,698,601,1023,1023,-1
88,0,0,8003,-37,0,0,698,601,1023,1023,-1
92,0,0,8017,-39,0,0,698,602,1023,1023,-1
96,0,0,8017,-42,0,0,697,599,1023,1023,-1
100,0,0,8017,-45,0,0,697,602,1023,1023,-1
104,0,0,8045,-48,0,0,698,602,1023,1023,-1
108,0,0,8045,-51,0,0,698,600,1023,1023,-1
112,0,0,8059,-54,0,0,698,599,1023,1023,-1
116,0,0,8059,-57,0,0,698,599,1023,1023,-1
120,0,0,8059,-60,0,0,698,599,1023,1023,-1
124,0,0,8073,-63,0,0,698,597,1023,1023,-1
128,0,0,8073,-67,0,0,698,598,1023,1023,-1
132,0,0,8087,-70,0,0,698,597,1023,1023,-1
136,0,0,8087,-73,0,0,698,599,1023,1023,-1
140,0,0,8087,-76,0,0,697,599,1023,1023,-1
144,0,0,8100,-80,0,0,698,594,1023,1023,-1
148,0,0,8100,-83,0,0,697,596,1023,1023,-1
152,0,0,8100,-86,0,0,698,596,1023,1023,-1
156,0,0,8100,-90,0,0,698,597,1023,1023,-1
160,0,0,8100,-93,0,0,698,595,1023,1023,-1
164,0,0,8087,-96,0,0,698,595,1023,1023,-1
168,0,0,8087,-100,0,0,698,593,1023,1023,-1
172,0,0,8114,-103,0,0,697,591,1023,1023,-1
176,0,0,8114,-107,0,0,698,596,1023,1023,-1
180,0,0,8114,-110,0,0,697,594,1023,1023,-1
184,0,0,8114,-113,0,0,697,595,1023,1023,-1
188,0,0,8114,-117,0,0,698,592,1023,1023,-1
192,0,0,8128,-121,0,0,697,593,1023,1023,-1
196,0,0,8128,-124,0,0,697,591,1023,1023,-1
200,0,0,8128,-127,0,0,698,593,1023,1023,-1
204,0,0,8114,-131,0,0,697,591,1023,1023,-1
208,0,0,8114,-135,0,0,698,591,1023,1023,-1
212,0,0,8114,-138,0,0,698,591,1023,1023,-1
216,0,0,8114,-141,0,0,697,591,1023,1023,-1
220,0,0,8114,-145,0,0,698,591,1023,1023,-1
224,0,0,8128,-149,0,0,697,588,1023,1023,-1
228,0,0,8128,-152,0,0,697,588,1023,1023,-1
232,0,0,8128,-156,0,0,697,587,1023,1023,-1
236,0,0,8128,-159,0,0,697,590,1023,1023,-1
240,0,0,8128,-163,0,0,697,587,1023,1023,-1
244,0,0,8142,-167,0,0,698,589,1023,1023,-1
248,0,0,8142,-170,0,0,697,586,1023,1023,-1
252,0,0,8128,-174,0,0,697,588,1023,1023,-1
256,0,0,8128,-177,0,0,697,587,1023,1023,-1
260,0,0,8128,-181,0,0,697,587,1023,1023,-1
264,0,0,8128,-184,0,0,696,587,1023,1023,-1
268,0,0,8128,-188,0,0,696,589,1023,1023,-1
272,0,0,8142,-191,0,0,696,588,1023,1023,-1
276,0,0,8142,-195,0,0,696,585,1023,1023,-1
280,0,0,8142,-199,0,0,696,582,1023,1023,-1
284,0,0,8142,-202,0,0,696,583,1023,1023,-1
288,0,0,8142,-206,0,0,696,581,1023,1023,-1
292,0,0,8142,-209,0,0,696,579,1023,1023,-1
296,0,0,8142,-213,0,0,695,574,1023,1023,-1
300,0,0,8142,-217,0,0,695,571,1023,1023,-1
304,0,0,8142,-220,0,0,696,571,1023,1023,-1
308,0,0,8142,-224,0,0,695,567,1023,1023,-1
312,0,0,8128,-228,0,0,695,568,1023,1023,-1
316,0,0,8128,-231,0,0,694,566,1023,1023,-1
320,0,0,8128,-235,0,0,694,566,1023,1023,-1
324,0,0,8142,-238,0,0,694,564,1023,1023,-1
328,0,0,8142,-242,0,0,693,564,1023,1023,-1
332,0,0,8142,-246,0,0,692,560,1023,1023,-1
336,0,0,8142,-249,0,0,692,562,1023,1023,-1
340,0,0,8142,-253,0,0,692,560,1023,1023,-1
344,0,0,8128,-257,0,0,691,557,1023,1023,-1
348,0,0,8128,-260,0,0,690,553,1023,1023,-1
352,0,0,8142,-264,0,0,690,553,1023,1023,-1
356,0,0,8142,-267,0,0,690,554,1023,1023,-1
360,0,0,8142,-271,0,0,689,552,1023,1023,-1
364,0,0,8142,-275,0,0,689,548,1023,1023,-1
368,0,0,8142,-278,0,0,688,547,1023,1023,-1
372,0,0,8128,-282,0,0,687,546,1023,1023,-1
376,0,0,8128,-285,0,0,687,545,1023,1023,-1
380,0,0,8128,-289,0,0,686,538,1023,1023,-1
384,0,0,8128,-293,0,0,685,538,1023,1023,-1
388,0,0,8128,-296,0,0,685,537,1023,1023,-1
392,0,0,8128,-300,0,0,684,538,1023,1023,-1
396,0,0,8128,-304,0,0,683,536,1023,1023,-1
400,0,0,8128,-307,0,0,683,534,1023,1023,-1
404,0,0,8142,-311,0,0,681,532,1023,1023,-1
408,0,0,8142,-315,0,0,680,533,1023,1023,-1
412,0,0,8142,-318,0,0,680,538,1023,1023,-1
416,0,0,8142,-322,0,0,678,535,1023,1023,-1
420,0,0,8142,-325,0,0,678,536,1023,1023,-1
424,0,0,8128,-329,0,0,677,531,1023,1023,-1
428,0,0,8128,-333,0,0,676,538,1023,1023,-1
432,0,0,8142,-336,0,0,675,536,1023,1023,-1
436,0,0,8142,-340,0,0,674,538,1023,1023,-1
440,0,0,8142,-344,0,0,673,538,1023,1023,-1
444,0,0,8128,-347,0,0,673,542,1023,1023,-1
448,0,0,8128,-351,0,0,673,534,1023,1023,-1
452,0,0,8128,-355,0,0,673,538,1023,1023,-1
456,0,0,8128,-358,0,0,672,532,1023,1023,-1
460,0,0,8128,-362,0,0,674,539,1023,1023,-1
464,0,0,8142,-365,0,0,673,537,1023,1023,-1
468,0,0,8142,-369,0,0,674,540,1023,1023,-1
472,0,0,8142,-373,0,0,675,536,1023,1023,-1
476,0,0,8142,-377,0,0,676,540,1023,1023,-1
480,0,0,8142,-380,0,0,677,537,1023,1023,-1
484,0,0,8114,-384,0,0,678,540,1023,1023,-1
488,0,0,8114,-387,0,0,679,536,1023,1023,-1
492,0,0,8128,-391,0,0,680,540,1023,1023,-1
496,0,0,8128,-395,0,0,681,535,1023,1023,-1
500,0,0,8128,-398,0,0,681,538,1023,1023,-1
504,0,0,8128,-402,0,0,681,550,1023,1023,-1
508,0,0,8128,-406,0,0,682,549,1023,1023,-1
512,0,0,8128,-409,0,0,682,540,1023,1023,-1
516,0,0,8128,-413,0,0,682,545,1023,1023,-1
520,0,0,8128,-417,0,0,682,548,1023,1023,-1
524,0,0,8128,-420,0,0,682,543,1023,1023,-1
