Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8183,0,0,0,628,596,1023,1023,-1
4,0,0,8197,0,0,0,628,595,1023,1023,-1
8,0,0,8197,0,0,0,627,595,1023,1023,-1
12,0,0,8087,0,0,0,628,594,1023,1023,-1
16,0,0,8087,1,0,0,627,595,1023,1023,-1
20,0,0,8087,1,0,0,627,594,1023,1023,-1
24,0,0,8073,2,0,0,627,592,1023,1023,-1
28,0,0,8073,2,0,0,627,594,1023,1023,-1
32,0,0,8128,3,0,0,628,594,1023,1023,-1
36,0,0,8128,3,0,0,627,594,1023,1023,-1
40,0,0,8128,4,0,0,628,594,1023,1023,-1
44,0,0,8114,5,0,0,628,594,1023,1023,-1
48,0,0,8114,6,0,0,627,595,1023,1023,-1
52,0,0,8128,7,0,0,628,596,1023,1023,-1
56,0,0,8128,8,0,0,628,595,1023,1023,-1
60,0,0,8128,9,0,0,627,593,1023,1023,-1
64,0,0,8142,10,0,0,628,594,1023,1023,-1
68,0,0,8142,11,0,0,628,594,1023,1023,-1
72,0,0,8128,12,0,0,628,595,1023,1023,-1
76,0,0,8128,13,0,0,628,596,1023,1023,-1
80,0,0,8128,14,0,0,628,596,1023,1023,-1
84,0,0,8142,16,0,0,628,596,1023,1023,-1
88,0,0,8142,17,0,0,628,597,1023,1023,-1
92,0,0,8142,18,0,0,628,599,1023,1023,-1
96,0,0,8142,19,0,0,628,599,1023,1023,-1
100,0,0,8142,21,0,0,627,598,1023,1023,-1
104,0,0,8170,22,0,0,627,597,1023,1023,-1
108,0,0,8170,23,0,0,627,598,1023,1023,-1
112,0,0,8156,25,0,0,627,598,1023,1023,-1
116,0,0,8156,26,0,0,628,598,1023,1023,-1
120,0,0,8156,28,0,0,628,597,1023,1023,-1
124,0,0,8170,29,0,0,627,598,1023,1023,-1
128,0,0,8170,31,0,0,628,597,1023,1023,-1
132,0,0,8170,32,0,0,627,598,1023,1023,-1
136,0,0,8170,34,0,0,627,598,1023,1023,-1
140,0,0,8170,35,0,0,628,599,1023,1023,-1
144,0,0,8170,37,0,0,627,598,1023,1023,-1
148,0,0,8170,38,0,0,627,598,1023,1023,-1
152,0,0,8183,40,0,0,627,599,1023,1023,-1
156,0,0,8183,42,0,0,627,599,1023,1023,-1
160,0,0,8183,43,0,0,628,599,1023,1023,-1
164,0,0,8183,45,0,0,628,598,1023,1023,-1
168,0,0,8183,46,0,0,627,597,1023,1023,-1
172,0,0,8183,48,0,0,627,598,1023,1023,-1
176,0,0,8183,50,0,0,627,598,1023,1023,-1
180,0,0,8183,51,0,0,628,598,1023,1023,-1
184,0,0,8183,53,0,0,627,598,1023,1023,-1
188,0,0,8183,55,0,0,627,598,1023,1023,-1
192,0,0,8183,56,0,0,628,597,1023,1023,-1
196,0,0,8183,58,0,0,627,597,1023,1023,-1
200,0,0,8183,60,0,0,627,597,1023,1023,-1
204,0,0,8183,61,0,0,628,598,1023,1023,-1
208,0,0,8183,63,0,0,627,597,1023,1023,-1
212,0,0,8183,65,0,0,627,596,1023,1023,-1
216,0,0,8183,66,0,0,627,596,1023,1023,-1
220,0,0,8183,68,0,0,627,597,1023,1023,-1
224,0,0,8197,70,0,0,628,598,1023,1023,-1
228,0,0,8197,72,0,0,627,597,1023,1023,-1
232,0,0,8183,73,0,0,627,598,1023,1023,-1
236,0,0,8183,75,0,0,627,599,1023,1023,-1
240,0,0,8183,77,0,0,627,599,1023,1023,-1
