Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8114,0,0,0,779,591,1023,1023,-1
4,0,0,8087,0,0,0,779,593,1023,1023,-1
8,0,0,8087,0,0,0,778,592,1023,1023,-1
12,0,0,7907,0,0,0,777,593,1023,1023,-1
16,0,0,7907,0,0,0,779,593,1023,1023,-1
20,0,0,7907,0,1,0,777,595,1023,1023,-1
24,0,0,7893,0,2,0,777,596,1023,1023,-1
28,0,0,7893,0,2,0,778,597,1023,1023,-1
32,0,0,7962,0,3,0,778,597,1023,1023,-1
36,0,0,7962,0,4,0,778,597,1023,1023,-1
40,0,0,7962,0,5,0,778,598,1023,1023,-1
44,0,0,7990,0,6,0,778,598,1023,1023,-1
48,0,0,7990,0,7,0,778,598,1023,1023,-1
52,0,0,8003,0,8,0,778,598,1023,1023,-1
56,0,0,8003,0,10,0,778,597,1023,1023,-1
60,0,0,8003,0,11,0,779,597,1023,1023,-1
64,0,0,8017,0,12,0,778,596,1023,1023,-1
68,0,0,8017,0,14,0,778,596,1023,1023,-1
72,0,0,8017,0,15,0,778,595,1023,1023,-1
76,0,0,8017,0,17,0,778,595,1023,1023,-1
80,0,0,8017,0,18,0,779,595,1023,1023,-1
84,0,0,8045,0,20,0,779,594,1023,1023,-1
88,0,0,8045,0,22,0,779,593,1023,1023,-1
92,0,0,8031,0,23,0,779,593,1023,1023,-1
96,0,0,8031,0,25,0,778,593,1023,1023,-1
100,0,0,8031,0,27,0,779,593,1023,1023,-1
104,0,0,8059,0,28,0,778,592,1023,1023,-1
108,0,0,8059,0,30,0,778,593,1023,1023,-1
112,0,0,8059,0,32,0,779,593,1023,1023,-1
116,0,0,8059,0,34,0,778,593,1023,1023,-1
120,0,0,8059,0,36,0,779,592,1023,1023,-1
124,0,0,8059,0,38,0,779,593,1023,1023,-1
128,0,0,8059,0,40,0,778,593,1023,1023,-1
132,0,0,8059,0,42,0,778,594,1023,1023,-1
136,0,0,8059,0,43,0,778,594,1023,1023,-1
140,0,0,8059,0,45,0,778,594,1023,1023,-1
144,0,0,8114,0,47,0,779,596,1023,1023,-1
148,0,0,8114,0,49,0,778,596,1023,1023,-1
152,0,0,8114,0,50,0,778,595,1023,1023,-1
156,0,0,8114,0,52,0,779,596,1023,1023,-1
160,0,0,8114,0,54,0,778,596,1023,1023,-1
164,0,0,8100,0,55,0,779,596,1023,1023,-1
168,0,0,8100,0,56,0,780,597,1023,1023,-1
172,0,0,7990,0,58,0,778,597,1023,1023,-1
176,0,0,7990,0,58,0,779,596,1023,1023,-1
180,0,0,7990,0,59,0,778,596,1023,1023,-1
184,0,0,7907,0,60,0,779,595,1023,1023,-1
188,0,0,7907,0,61,0,778,594,1023,1023,-1
192,0,0,7934,0,61,0,778,592,1023,1023,-1
196,0,0,7934,0,61,0,778,594,1023,1023,-1
200,0,0,7934,0,61,0,779,596,1023,1023,-1
204,0,0,7879,0,61,0,777,595,1023,1023,-1
208,0,0,7879,0,61,0,779,593,1023,1023,-1
212,0,0,7920,0,60,0,778,593,1023,1023,-1
216,0,0,7920,0,60,0,778,594,1023,1023,-1
220,0,0,7920,0,59,0,778,595,1023,1023,-1
224,0,0,7962,0,59,0,778,595,1023,1023,-1
228,0,0,7962,0,58,0,778,595,1023,1023,-1
232,0,0,8031,0,57,0,779,594,1023,1023,-1
236,0,0,8031,0,56,0,778,595,1023,1023,-1
240,0,0,8031,0,56,0,778,596,1023,1023,-1
244,0,0,8073,0,55,0,777,595,1023,1023,-1
248,0,0,8073,0,54,0,777,595,1023,1023,-1
252,0,0,8087,0,53,0,778,596,1023,1023,-1
256,0,0,8087,0,52,0,777,595,1023,1023,-1
260,0,0,8087,0,51,0,778,596,1023,1023,-1
264,0,0,8114,0,50,0,778,597,1023,1023,-1
268,0,0,8114,0,50,0,777,595,1023,1023,-1
272,0,0,8100,0,49,0,777,595,1023,1023,-1
276,0,0,8100,0,48,0,778,596,1023,1023,-1
280,0,0,8100,0,48,0,778,596,1023,1023,-1
284,0,0,8100,0,47,0,778,596,1023,1023,-1
288,0,0,8100,0,47,0,777,598,1023,1023,-1
292,0,0,8073,0,46,0,778,597,1023,1023,-1
296,0,0,8073,0,46,0,777,597,1023,1023,-1
300,0,0,8073,0,46,0,777,597,1023,1023,-1
304,0,0,8073,0,46,0,778,597,1023,1023,-1
308,0,0,8073,0,46,0,778,596,1023,1023,-1
312,0,0,8073,0,46,0,777,597,1023,1023,-1
316,0,0,8073,0,46,0,778,598,1023,1023,-1
320,0,0,8073,0,46,0,777,598,1023,1023,-1
324,0,0,8087,0,46,0,777,598,1023,1023,-1
328,0,0,8087,0,46,0,777,600,1023,1023,-1
332,0,0,8087,0,46,0,777,599,1023,1023,-1
336,0,0,8087,0,46,0,777,600,1023,1023,-1
340,0,0,8087,0,47,0,777,599,1023,1023,-1
344,0,0,8087,0,47,0,777,599,1023,1023,-1
348,0,0,8087,0,47,0,778,599,1023,1023,-1
352,0,0,8100,0,48,0,777,596,1023,1023,-1
356,0,0,8100,0,48,0,777,596,1023,1023,-1
360,0,0,8100,0,48,0,778,597,1023,1023,-1
364,0,0,8100,0,49,0,777,598,1023,1023,-1
368,0,0,8100,0,49,0,778,597,1023,1023,-1
372,0,0,8114,0,50,0,778,596,1023,1023,-1
376,0,0,8114,0,50,0,777,597,1023,1023,-1
380,0,0,8114,0,50,0,777,595,1023,1023,-1
384,0,0,8100,0,50,0,777,594,1023,1023,-1
388,0,0,8100,0,51,0,777,589,1023,1023,-1
392,0,0,8100,0,51,0,778,591,1023,1023,-1
396,0,0,8100,0,51,0,777,594,1023,1023,-1
400,0,0,8100,0,51,0,778,594,1023,1023,-1
404,0,0,8100,0,51,0,777,594,1023,1023,-1
408,0,0,8100,0,51,0,777,595,1023,1023,-1
412,0,0,8087,0,51,0,778,596,1023,1023,-1
416,0,0,8087,0,52,0,777,597,1023,1023,-1
420,0,0,8087,0,52,0,777,599,1023,1023,-1
424,0,0,8087,0,52,0,778,601,1023,1023,-1
428,0,0,8087,0,51,0,777,601,1023,1023,-1
432,0,0,8073,0,51,0,777,603,1023,1023,-1
436,0,0,8073,0,51,0,777,605,1023,1023,-1
440,0,0,8073,0,51,0,777,605,1023,1023,-1
444,0,0,8087,0,51,0,778,605,1023,1023,-1
448,0,0,8087,0,51,0,778,609,1023,1023,-1
452,0,0,8087,0,51,0,777,608,1023,1023,-1
456,0,0,8087,0,51,0,778,607,1023,1023,-1
460,0,0,8087,0,50,0,777,611,1023,1023,-1
464,0,0,8100,0,50,0,777,610,1023,1023,-1
468,0,0,8100,0,50,0,777,609,1023,1023,-1
472,0,0,8100,0,50,0,776,608,1023,1023,-1
476,0,0,8100,0,50,0,777,607,1023,1023,-1
480,0,0,8100,0,50,0,776,610,1023,1023,-1
484,0,0,8100,0,50,0,777,615,1023,1023,-1
488,0,0,8100,0,50,0,776,613,1023,1023,-1
492,0,0,8114,0,50,0,777,613,1023,1023,-1
496,0,0,8114,0,50,0,777,613,1023,1023,-1
500,0,0,8114,0,50,0,777,613,1023,1023,-1
504,0,0,8114,0,50,0,776,612,1023,1023,-1
508,0,0,8114,0,50,0,777,613,1023,1023,-1
512,0,0,8100,0,50,0,775,614,1023,1023,-1
516,0,0,8100,0,50,0,776,614,1023,1023,-1
520,0,0,8100,0,50,0,776,614,1023,1023,-1
524,0,0,8114,0,50,0,776,615,1023,1023,-1
528,0,0,8114,0,50,0,776,615,1023,1023,-1
532,0,0,8114,0,50,0,776,616,1023,1023,-1
536,0,0,8114,0,50,0,775,618,1023,1023,-1
540,0,0,8114,0,50,0,776,620,1023,1023,-1
544,0,0,8114,0,50,0,775,621,1023,1023,-1
548,0,0,8114,0,50,0,775,620,1023,1023,-1
