Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8363,0,0,0,718,591,1023,1023,-1
4,0,0,8363,0,0,0,718,590,1023,1023,-1
8,0,0,8363,0,0,0,719,588,1023,1023,-1
12,0,0,7297,1,0,0,717,585,1023,1023,-1
16,0,0,7297,1,0,0,718,584,1023,1023,-1
20,0,0,7297,2,1,1,717,584,1023,1023,-1
24,0,0,7311,3,2,2,718,582,1023,1023,-1
28,0,0,7311,5,2,3,718,581,1023,1023,-1
32,0,0,7353,6,3,4,719,582,1023,1023,-1
36,0,0,7353,7,4,6,718,581,1023,1023,-1
40,0,0,7353,9,5,7,719,583,1023,1023,-1
44,0,0,7546,11,6,9,717,580,1023,1023,-1
48,0,0,7546,12,7,11,719,577,1023,1023,-1
52,0,0,7630,14,8,13,718,571,1023,1023,-1
56,0,0,7630,16,9,15,719,569,1023,1023,-1
60,0,0,7630,19,11,17,719,572,1023,1023,-1
64,0,0,7685,21,12,19,719,578,1023,1023,-1
68,0,0,7685,23,13,21,719,588,1023,1023,-1
72,0,0,7810,25,15,24,721,585,1023,1023,-1
76,0,0,7810,28,16,26,718,584,1023,1023,-1
80,0,0,7810,31,18,29,719,585,1023,1023,-1
84,0,0,7879,33,19,31,718,591,1023,1023,-1
88,0,0,7879,36,21,34,719,590,1023,1023,-1
92,0,0,7920,38,22,37,720,588,1023,1023,-1
96,0,0,7920,41,24,40,719,589,1023,1023,-1
100,0,0,7920,44,26,42,719,590,1023,1023,-1
104,0,0,7990,47,27,45,720,589,1023,1023,-1
108,0,0,7990,50,29,48,719,589,1023,1023,-1
112,0,0,8003,53,31,51,720,591,1023,1023,-1
116,0,0,8003,56,32,54,721,592,1023,1023,-1
120,0,0,8003,59,34,57,719,595,1023,1023,-1
124,0,0,8045,62,36,60,721,594,1023,1023,-1
128,0,0,8045,65,38,64,719,592,1023,1023,-1
132,0,0,8073,68,40,67,721,595,1023,1023,-1
136,0,0,8073,71,42,70,719,595,1023,1023,-1
140,0,0,8073,74,44,73,721,597,1023,1023,-1
144,0,0,8087,77,45,76,720,599,1023,1023,-1
148,0,0,8087,81,47,80,720,594,1023,1023,-1
152,0,0,8142,84,49,83,720,597,1023,1023,-1
156,0,0,8142,87,51,86,721,595,1023,1023,-1
160,0,0,8142,91,53,90,719,594,1023,1023,-1
164,0,0,8156,94,55,93,722,594,1023,1023,-1
168,0,0,8156,97,57,96,719,594,1023,1023,-1
172,0,0,8142,101,59,100,720,597,1023,1023,-1
176,0,0,8142,104,61,103,720,594,1023,1023,-1
180,0,0,8142,107,63,106,720,595,1023,1023,-1
184,0,0,8170,111,65,110,720,596,1023,1023,-1
188,0,0,8170,114,67,113,721,598,1023,1023,-1
192,0,0,8183,118,69,117,720,596,1023,1023,-1
196,0,0,8183,121,71,120,721,595,1023,1023,-1
200,0,0,8183,125,73,124,719,595,1023,1023,-1
204,0,0,8197,128,75,127,720,596,1023,1023,-1
208,0,0,8197,131,77,131,721,597,1023,1023,-1
212,0,0,8211,135,79,134,720,599,1023,1023,-1
216,0,0,8211,138,81,138,720,599,1023,1023,-1
220,0,0,8211,142,83,141,721,598,1023,1023,-1
224,0,0,8197,145,85,145,720,597,1023,1023,-1
228,0,0,8197,149,87,148,720,599,1023,1023,-1
232,0,0,8211,152,89,152,722,600,1023,1023,-1
236,0,0,8211,156,91,156,720,599,1023,1023,-1
240,0,0,8211,159,93,159,721,601,1023,1023,-1
244,0,0,8253,163,95,163,719,598,1023,1023,-1
248,0,0,8253,167,97,166,721,604,1023,1023,-1
252,0,0,8267,170,99,170,720,601,1023,1023,-1
256,0,0,8267,173,100,174,719,601,1023,1023,-1
260,0,0,8267,177,102,177,720,599,1023,1023,-1
264,0,0,8225,181,104,181,721,600,1023,1023,-1
268,0,0,8225,184,105,184,720,601,1023,1023,-1
272,0,0,8170,188,106,188,722,603,1023,1023,-1
276,0,0,8170,191,108,192,718,603,1023,1023,-1
280,0,0,8170,195,108,195,719,598,1023,1023,-1
284,0,0,8142,199,109,199,719,598,1023,1023,-1
288,0,0,8142,202,110,202,719,596,1023,1023,-1
292,0,0,8142,205,110,206,720,601,1023,1023,-1
296,0,0,8142,209,110,210,719,597,1023,1023,-1
300,0,0,8142,213,110,213,719,600,1023,1023,-1
304,0,0,8073,216,110,217,720,596,1023,1023,-1
308,0,0,8073,220,110,220,718,599,1023,1023,-1
312,0,0,8114,223,110,224,719,596,1023,1023,-1
316,0,0,8114,227,110,228,721,596,1023,1023,-1
320,0,0,8114,230,109,231,719,596,1023,1023,-1
324,0,0,8114,234,108,235,721,599,1023,1023,-1
328,0,0,8114,237,108,238,719,598,1023,1023,-1
332,0,0,8197,241,107,242,721,598,1023,1023,-1
336,0,0,8197,245,106,246,720,598,1023,1023,-1
340,0,0,8197,248,106,249,720,594,1023,1023,-1
344,0,0,8211,252,104,253,720,597,1023,1023,-1
348,0,0,8211,255,104,256,720,594,1023,1023,-1
352,0,0,8225,259,103,260,721,594,1023,1023,-1
356,0,0,8225,263,102,264,721,593,1023,1023,-1
360,0,0,8225,266,101,267,719,596,1023,1023,-1
364,0,0,8239,270,100,271,722,592,1023,1023,-1
368,0,0,8239,273,100,274,719,594,1023,1023,-1
372,0,0,8239,277,99,278,719,592,1023,1023,-1
376,0,0,8239,280,98,282,720,596,1023,1023,-1
380,0,0,8239,284,98,285,720,590,1023,1023,-1
384,0,0,8267,288,98,289,720,597,1023,1023,-1
388,0,0,8267,291,97,292,721,594,1023,1023,-1
392,0,0,8239,295,97,296,720,599,1023,1023,-1
396,0,0,8239,298,96,300,721,594,1023,1023,-1
400,0,0,8239,302,96,304,719,596,1023,1023,-1
404,0,0,8253,305,96,307,720,588,1023,1023,-1
408,0,0,8253,309,96,311,721,594,1023,1023,-1
412,0,0,8239,313,96,314,719,592,1023,1023,-1
416,0,0,8239,316,96,318,720,597,1023,1023,-1
420,0,0,8239,320,97,322,721,593,1023,1023,-1
424,0,0,8225,323,97,325,721,596,1023,1023,-1
428,0,0,8225,327,97,329,721,593,1023,1023,-1
432,0,0,8253,331,97,333,722,595,1023,1023,-1
436,0,0,8253,334,98,336,721,588,1023,1023,-1
440,0,0,8253,338,98,340,722,593,1023,1023,-1
444,0,0,8253,341,98,344,719,593,1023,1023,-1
448,0,0,8253,345,98,347,721,597,1023,1023,-1
452,0,0,8253,349,99,351,720,596,1023,1023,-1
456,0,0,8253,352,99,354,720,589,1023,1023,-1
460,0,0,8253,356,99,358,722,591,1023,1023,-1
464,0,0,8267,359,100,362,721,588,1023,1023,-1
468,0,0,8267,363,100,366,720,595,1023,1023,-1
472,0,0,8267,367,100,369,722,595,1023,1023,-1
476,0,0,8267,370,100,373,719,595,1023,1023,-1
480,0,0,8267,374,100,376,720,588,1023,1023,-1
484,0,0,8253,378,101,380,720,594,1023,1023,-1
488,0,0,8253,381,101,384,720,591,1023,1023,-1
492,0,0,8280,385,101,388,722,598,1023,1023,-1
496,0,0,8280,388,101,391,721,592,1023,1023,-1
500,0,0,8280,392,101,395,721,598,1023,1023,-1
504,0,0,8280,396,101,398,722,591,1023,1023,-1
508,0,0,8280,399,101,402,720,596,1023,1023,-1
512,0,0,8253,403,101,406,721,589,1023,1023,-1
516,0,0,8253,407,101,410,723,599,1023,1023,-1
520,0,0,8253,410,101,413,721,594,1023,1023,-1
524,0,0,8253,414,101,417,722,600,1023,1023,-1
528,0,0,8253,417,101,420,721,595,1023,1023,-1
532,0,0,8267,421,101,424,721,603,1023,1023,-1
536,0,0,8267,425,101,428,721,596,1023,1023,-1
540,0,0,8267,428,100,432,722,598,1023,1023,-1
544,0,0,8267,432,100,435,721,595,1023,1023,-1
548,0,0,8267,435,100,439,722,601,1023,1023,-1
552,0,0,8267,439,100,442,720,598,1023,1023,-1
556,0,0,8267,443,100,446,722,600,1023,1023,-1
560,0,0,8267,446,100,450,719,595,1023,1023,-1
