Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8280,0,0,0,736,607,1023,1023,-1
4,0,0,8267,0,0,0,735,609,1023,1023,-1
8,0,0,8267,0,0,0,734,609,1023,1023,-1
12,0,0,7796,1,0,0,734,609,1023,1023,-1
16,0,0,7796,1,0,0,733,610,1023,1023,-1
20,0,0,7796,2,0,0,733,609,1023,1023,-1
24,0,0,7768,3,0,0,733,608,1023,1023,-1
28,0,0,7768,4,0,0,733,603,1023,1023,-1
32,0,0,7810,5,0,0,733,601,1023,1023,-1
36,0,0,7810,7,0,0,732,599,1023,1023,-1
40,0,0,7810,8,0,0,732,598,1023,1023,-1
44,0,0,7920,10,0,1,732,597,1023,1023,-1
48,0,0,7920,12,0,1,732,593,1023,1023,-1
52,0,0,7948,14,0,1,732,584,1023,1023,-1
56,0,0,7948,16,0,1,731,585,1023,1023,-1
60,0,0,7948,18,0,1,731,586,1023,1023,-1
64,0,0,7990,20,0,1,731,588,1023,1023,-1
68,0,0,7990,23,0,2,731,590,1023,1023,-1
72,0,0,8031,25,0,2,731,587,1023,1023,-1
76,0,0,8031,28,0,2,732,589,1023,1023,-1
80,0,0,8031,30,0,2,731,588,1023,1023,-1
84,0,0,8059,33,0,3,731,587,1023,1023,-1
88,0,0,8059,36,0,3,730,587,1023,1023,-1
92,0,0,8073,39,0,3,730,586,1023,1023,-1
96,0,0,8073,41,0,3,730,585,1023,1023,-1
100,0,0,8073,44,0,4,729,594,1023,1023,-1
104,0,0,8100,47,0,4,729,591,1023,1023,-1
108,0,0,8100,50,0,4,729,589,1023,1023,-1
112,0,0,8128,53,0,5,729,592,1023,1023,-1
116,0,0,8128,56,0,5,729,591,1023,1023,-1
120,0,0,8128,59,0,5,729,592,1023,1023,-1
124,0,0,8114,63,0,5,728,596,1023,1023,-1
128,0,0,8114,66,0,6,728,594,1023,1023,-1
132,0,0,8128,69,0,6,728,594,1023,1023,-1
136,0,0,8128,72,0,6,728,588,1023,1023,-1
140,0,0,8128,75,0,6,727,591,1023,1023,-1
144,0,0,8156,79,0,7,728,589,1023,1023,-1
148,0,0,8156,82,0,7,727,591,1023,1023,-1
152,0,0,8156,85,0,7,727,589,1023,1023,-1
156,0,0,8156,89,0,8,727,590,1023,1023,-1
160,0,0,8156,92,0,8,728,590,1023,1023,-1
164,0,0,8170,95,0,8,728,588,1023,1023,-1
168,0,0,8170,99,0,9,728,591,1023,1023,-1
172,0,0,8170,102,0,9,728,593,1023,1023,-1
176,0,0,8170,106,0,9,728,596,1023,1023,-1
180,0,0,8170,109,0,9,729,594,1023,1023,-1
184,0,0,8170,113,0,10,729,596,1023,1023,-1
188,0,0,8170,116,0,10,729,596,1023,1023,-1
192,0,0,8183,120,0,10,730,599,1023,1023,-1
196,0,0,8183,123,0,11,730,598,1023,1023,-1
200,0,0,8183,127,0,11,730,599,1023,1023,-1
204,0,0,8183,130,0,11,730,599,1023,1023,-1
208,0,0,8183,133,0,11,730,600,1023,1023,-1
212,0,0,8183,137,0,12,730,602,1023,1023,-1
216,0,0,8183,141,0,12,730,603,1023,1023,-1
220,0,0,8183,144,0,12,731,604,1023,1023,-1
224,0,0,8211,148,0,13,730,604,1023,1023,-1
228,0,0,8211,151,0,13,731,604,1023,1023,-1
232,0,0,8197,155,0,13,730,607,1023,1023,-1
236,0,0,8197,158,0,14,730,609,1023,1023,-1
240,0,0,8197,162,0,14,729,609,1023,1023,-1
244,0,0,8197,165,0,14,730,614,1023,1023,-1
248,0,0,8197,169,0,15,729,615,1023,1023,-1
252,0,0,8197,173,0,15,729,617,1023,1023,-1
256,0,0,8197,176,0,15,729,619,1023,1023,-1
260,0,0,8197,180,0,15,728,621,1023,1022,-1
264,0,0,8211,183,0,16,728,620,1023,1023,-1
268,0,0,8211,187,0,16,728,624,1023,1023,-1
272,0,0,8197,191,0,16,727,624,1023,1023,-1
276,0,0,8197,194,0,17,728,625,1023,1023,-1
280,0,0,8197,198,0,17,727,623,1023,1023,-1
284,0,0,8197,201,0,17,727,622,1023,1023,-1
288,0,0,8197,205,0,17,727,622,1023,1023,-1
292,0,0,8183,208,0,18,726,621,1023,1023,-1
296,0,0,8183,212,0,18,726,620,1023,1023,-1
300,0,0,8183,216,0,18,727,619,1023,1023,-1
304,0,0,8197,219,0,19,727,616,1023,1023,-1
308,0,0,8197,223,0,19,727,614,1023,1023,-1
312,0,0,8225,227,0,19,727,613,1023,1023,-1
316,0,0,8225,230,0,20,726,611,1023,1023,-1
320,0,0,8225,234,0,20,726,609,1023,1023,-1
324,0,0,8197,237,0,20,727,607,1023,1023,-1
328,0,0,8197,241,0,21,727,608,1023,1023,-1
332,0,0,8197,245,0,21,726,609,1023,1023,-1
336,0,0,8197,248,0,21,727,607,1023,1023,-1
340,0,0,8197,252,0,21,727,610,1023,1023,-1
344,0,0,8197,255,0,22,726,608,1023,1023,-1
348,0,0,8197,259,0,22,726,610,1023,1023,-1
352,0,0,8197,263,0,22,727,613,1023,1023,-1
356,0,0,8197,266,0,23,726,612,1023,1023,-1
360,0,0,8197,270,0,23,726,613,1023,1023,-1
364,0,0,8183,274,0,23,725,613,1023,1023,-1
368,0,0,8183,277,0,24,725,613,1023,1023,-1
372,0,0,8197,281,0,24,724,616,1023,1023,-1
376,0,0,8197,285,0,24,725,616,1023,1023,-1
380,0,0,8197,288,0,25,724,615,1023,1023,-1
384,0,0,8211,292,0,25,724,616,1023,1023,-1
388,0,0,8211,295,0,25,723,612,1023,1023,-1
392,0,0,8197,299,0,25,722,616,1023,1023,-1
396,0,0,8197,303,0,26,723,614,1023,1023,-1
400,0,0,8197,306,0,26,722,612,1023,1023,-1
404,0,0,8197,310,0,26,722,612,1023,1023,-1
408,0,0,8197,313,0,27,722,611,1023,1023,-1
412,0,0,8211,317,0,27,721,606,1023,1023,-1
416,0,0,8211,321,0,27,720,605,1023,1023,-1
420,0,0,8211,325,0,28,720,605,1023,1023,-1
424,0,0,8197,328,0,28,720,603,1023,1023,-1
428,0,0,8197,332,0,28,720,599,1023,1023,-1
432,0,0,8183,335,0,29,720,598,1023,1023,-1
436,0,0,8183,339,0,29,720,596,1023,1023,-1
440,0,0,8183,343,0,29,719,594,1023,1023,-1
444,0,0,8211,346,0,29,719,594,1023,1023,-1
448,0,0,8211,350,0,30,719,592,1023,1023,-1
452,0,0,8211,354,0,30,720,592,1023,1023,-1
456,0,0,8211,357,0,30,719,591,1023,1023,-1
460,0,0,8211,361,0,31,720,588,1023,1023,-1
464,0,0,8197,365,0,31,719,586,1023,1023,-1
468,0,0,8197,368,0,31,719,588,1023,1023,-1
472,0,0,8211,372,0,32,720,587,1023,1023,-1
476,0,0,8211,375,0,32,720,586,1023,1023,-1
480,0,0,8211,379,0,32,720,584,1023,1023,-1
484,0,0,8183,383,0,33,721,584,1023,1023,-1
488,0,0,8183,386,0,33,720,585,1023,1023,-1
492,0,0,8197,390,0,33,720,587,1023,1023,-1
496,0,0,8197,394,0,33,720,585,1023,1023,-1
500,0,0,8197,397,0,34,720,585,1023,1023,-1
504,0,0,8211,401,0,34,721,583,1023,1023,-1
508,0,0,8211,405,0,34,721,586,1023,1023,-1
512,0,0,8197,408,0,35,721,585,1023,1022,-1
516,0,0,8197,412,0,35,721,587,1023,1023,-1
520,0,0,8197,415,0,35,721,586,1023,1023,-1
524,0,0,8211,419,0,36,720,587,1023,1023,-1
528,0,0,8211,423,0,36,721,589,1023,1023,-1
532,0,0,8211,427,0,36,721,592,1023,1023,-1
536,0,0,8211,430,0,37,721,591,1023,1023,-1
540,0,0,8211,434,0,37,721,591,1023,1023,-1
544,0,0,8197,437,0,37,722,591,1023,1023,-1
548,0,0,8197,441,0,37,720,595,1023,1023,-1
552,0,0,8197,445,0,38,721,596,1023,1023,-1
556,0,0,8197,448,0,38,721,599,1023,1023,-1
560,0,0,8197,452,0,39,721,599,1023,1023,-1
564,0,0,8197,456,0,39,721,601,1023,1023,-1
568,0,0,8197,459,0,39,721,604,1023,1023,-1
572,0,0,8197,463,0,39,720,608,1023,1023,-1
