Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8114,0,0,0,659,599,1023,1023,-1
4,0,0,8114,0,0,0,660,599,1023,1023,-1
8,0,0,8114,0,0,0,658,599,1023,1023,-1
12,0,0,7976,0,0,0,658,598,1023,1023,-1
16,0,0,7976,0,0,0,658,598,1023,1023,-1
20,0,0,7976,0,0,-1,657,598,1023,1023,-1
24,0,0,7976,0,0,-1,658,598,1023,1023,-1
28,0,0,7976,0,0,-2,658,599,1023,1023,-1
32,0,0,8017,0,0,-2,658,598,1023,1023,-1
36,0,0,8017,0,0,-3,658,598,1023,1023,-1
40,0,0,8017,0,0,-4,657,598,1023,1023,-1
44,0,0,8031,0,0,-5,658,597,1023,1023,-1
48,0,0,8031,0,0,-5,659,597,1023,1023,-1
52,0,0,8031,0,0,-7,658,597,1023,1023,-1
56,0,0,8031,0,0,-7,658,597,1023,1023,-1
60,0,0,8031,0,0,-9,658,597,1023,1023,-1
64,0,0,8045,0,0,-10,658,596,1023,1023,-1
68,0,0,8045,0,0,-11,658,595,1023,1023,-1
72,0,0,8059,0,0,-12,658,595,1023,1023,-1
76,0,0,8059,0,0,-13,658,595,1023,1023,-1
80,0,0,8059,0,0,-15,659,595,1023,1023,-1
84,0,0,8059,0,0,-16,658,595,1023,1023,-1
88,0,0,8059,0,0,-17,659,594,1023,1023,-1
92,0,0,8073,0,0,-19,658,593,1023,1023,-1
96,0,0,8073,0,0,-20,658,593,1023,1023,-1
100,0,0,8073,0,0,-21,658,593,1023,1023,-1
104,0,0,8073,0,0,-23,658,592,1023,1023,-1
108,0,0,8073,0,0,-24,658,592,1023,1023,-1
112,0,0,8087,0,0,-26,659,593,1023,1023,-1
116,0,0,8087,0,0,-27,657,592,1023,1023,-1
120,0,0,8087,0,0,-29,658,591,1023,1023,-1
124,0,0,8073,0,0,-30,658,591,1023,1023,-1
128,0,0,8073,0,0,-32,658,591,1023,1023,-1
132,0,0,8087,0,0,-33,659,591,1023,1023,-1
136,0,0,8087,0,0,-35,658,591,1023,1023,-1
140,0,0,8087,0,0,-37,658,591,1023,1023,-1
144,0,0,8087,0,0,-38,658,591,1023,1023,-1
148,0,0,8087,0,0,-40,658,591,1023,1023,-1
152,0,0,8087,0,0,-41,658,591,1023,1023,-1
156,0,0,8087,0,0,-43,660,591,1023,1023,-1
160,0,0,8087,0,0,-45,658,591,1023,1023,-1
164,0,0,8073,0,0,-47,659,591,1023,1023,-1
168,0,0,8073,0,0,-48,658,591,1023,1023,-1
172,0,0,8087,0,0,-50,659,591,1023,1023,-1
176,0,0,8087,0,0,-51,658,591,1023,1023,-1
180,0,0,8087,0,0,-53,659,591,1023,1023,-1
184,0,0,8087,0,0,-55,659,593,1023,1023,-1
188,0,0,8087,0,0,-57,659,593,1023,1023,-1
192,0,0,8087,0,0,-58,658,592,1023,1023,-1
196,0,0,8087,0,0,-60,659,594,1023,1023,-1
200,0,0,8087,0,0,-62,658,593,1023,1023,-1
204,0,0,8100,0,0,-63,658,595,1023,1023,-1
208,0,0,8100,0,0,-65,659,596,1023,1023,-1
212,0,0,8087,0,0,-67,658,595,1023,1023,-1
216,0,0,8087,0,0,-69,659,596,1023,1023,-1
220,0,0,8087,0,0,-70,659,597,1023,1023,-1
224,0,0,8100,0,0,-72,658,598,1023,1023,-1
228,0,0,8100,0,0,-74,659,599,1023,1023,-1
232,0,0,8100,0,0,-75,658,599,1023,1023,-1
236,0,0,8100,0,0,-77,658,599,1023,1023,-1
240,0,0,8100,0,0,-79,659,600,1023,1023,-1
244,0,0,8100,0,0,-81,659,601,1023,1023,-1
248,0,0,8100,0,0,-83,659,601,1023,1023,-1
252,0,0,8087,0,0,-84,659,601,1023,1023,-1
256,0,0,8087,0,0,-86,658,602,1023,1023,-1
260,0,0,8087,0,0,-88,658,603,1023,1023,-1
264,0,0,8100,0,0,-89,659,603,1023,1023,-1
268,0,0,8100,0,0,-91,658,602,1023,1023,-1
272,0,0,8073,0,0,-93,659,602,1023,1023,-1
276,0,0,8073,0,0,-95,657,604,1023,1023,-1
280,0,0,8073,0,0,-97,659,603,1023,1023,-1
284,0,0,8100,0,0,-98,657,603,1023,1023,-1
288,0,0,8100,0,0,-100,657,603,1023,1023,-1
292,0,0,8100,0,0,-102,658,604,1023,1023,-1
