Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8156,0,0,0,803,587,1023,1023,-1
4,0,0,8156,0,0,0,804,589,1023,1023,-1
8,0,0,8156,0,0,0,803,588,1023,1023,-1
12,0,0,8059,0,0,0,803,589,1023,1023,-1
16,0,0,8059,0,0,0,803,590,1023,1023,-1
20,0,0,8059,-1,0,0,803,591,1023,1023,-1
24,0,0,8073,-1,0,0,803,592,1023,1023,-1
28,0,0,8073,-2,0,0,803,593,1023,1023,-1
32,0,0,8100,-2,0,0,803,594,1023,1023,-1
36,0,0,8100,-3,0,0,803,594,1023,1023,-1
40,0,0,8100,-3,0,0,803,596,1023,1023,-1
44,0,0,8087,-4,0,0,803,599,1023,1023,-1
48,0,0,8087,-5,0,0,803,601,1023,1023,-1
52,0,0,8100,-6,0,0,803,598,1023,1023,-1
56,0,0,8100,-7,0,0,804,598,1023,1023,-1
60,0,0,8100,-8,0,0,803,600,1023,1023,-1
64,0,0,8114,-9,0,0,804,600,1023,1023,-1
68,0,0,8114,-10,0,0,804,600,1023,1023,-1
72,0,0,8114,-11,0,0,803,599,1023,1023,-1
76,0,0,8114,-12,0,0,804,602,1023,1023,-1
80,0,0,8114,-13,0,0,804,604,1023,1023,-1
84,0,0,8100,-14,0,0,804,605,1023,1023,-1
88,0,0,8100,-16,0,0,804,603,1023,1023,-1
92,0,0,8114,-17,0,0,803,603,1023,1023,-1
96,0,0,8114,-18,0,0,804,605,1023,1023,-1
100,0,0,8114,-20,0,0,803,606,1023,1023,-1
104,0,0,8114,-21,0,0,803,606,1023,1023,-1
108,0,0,8114,-22,0,0,803,605,1023,1023,-1
112,0,0,8128,-24,0,0,803,604,1023,1023,-1
116,0,0,8128,-25,0,0,803,605,1023,1023,-1
120,0,0,8128,-27,0,0,804,606,1023,1023,-1
124,0,0,8128,-28,0,0,803,606,1023,1023,-1
128,0,0,8128,-30,0,0,803,605,1023,1023,-1
132,0,0,8128,-31,0,0,803,605,1023,1023,-1
136,0,0,8128,-33,0,0,803,605,1023,1023,-1
140,0,0,8128,-34,0,0,804,605,1023,1023,-1
144,0,0,8128,-36,0,0,804,605,1023,1023,-1
148,0,0,8128,-37,0,0,803,604,1023,1023,-1
152,0,0,8128,-39,0,0,803,604,1023,1023,-1
156,0,0,8128,-40,0,0,803,603,1023,1023,-1
160,0,0,8128,-42,0,0,803,603,1023,1023,-1
164,0,0,8142,-44,0,0,804,602,1023,1023,-1
168,0,0,8142,-45,0,0,803,601,1023,1023,-1
172,0,0,8142,-47,0,0,803,602,1023,1023,-1
176,0,0,8142,-48,0,0,803,602,1023,1023,-1
180,0,0,8142,-50,0,0,803,599,1023,1023,-1
184,0,0,8142,-52,0,0,804,599,1023,1023,-1
188,0,0,8142,-53,0,0,803,599,1023,1023,-1
192,0,0,8156,-55,0,0,803,598,1023,1023,-1
196,0,0,8156,-57,0,0,803,598,1023,1023,-1
200,0,0,8156,-58,0,0,803,598,1023,1022,-1
204,0,0,8142,-60,0,0,804,598,1023,1023,-1
208,0,0,8142,-62,0,0,803,597,1023,1023,-1
212,0,0,8142,-63,0,0,803,596,1023,1023,-1
216,0,0,8142,-65,0,0,803,597,1023,1023,-1
220,0,0,8142,-67,0,0,803,597,1023,1023,-1
224,0,0,8156,-68,0,0,803,596,1023,1023,-1
228,0,0,8156,-70,0,0,804,595,1023,1023,-1
232,0,0,8142,-72,0,0,803,593,1023,1023,-1
236,0,0,8142,-73,0,0,804,593,1023,1023,-1
240,0,0,8142,-75,0,0,803,595,1023,1023,-1
244,0,0,8156,-77,0,0,803,593,1023,1023,-1
248,0,0,8156,-78,0,0,804,593,1023,1023,-1
252,0,0,8156,-80,0,0,803,591,1023,1023,-1
256,0,0,8156,-82,0,0,803,591,1023,1023,-1
260,0,0,8156,-84,0,0,803,593,1023,1023,-1
264,0,0,8156,-85,0,0,803,593,1023,1023,-1
268,0,0,8156,-87,0,0,803,593,1023,1023,-1
272,0,0,8142,-89,0,0,804,593,1023,1023,-1
276,0,0,8142,-91,0,0,803,594,1023,1023,-1
280,0,0,8142,-92,0,0,804,594,1023,1023,-1
284,0,0,8142,-94,0,0,803,596,1023,1023,-1
288,0,0,8142,-96,0,0,804,595,1023,1023,-1
292,0,0,8142,-98,0,0,803,595,1023,1023,-1
296,0,0,8142,-99,0,0,803,595,1023,1023,-1
300,0,0,8142,-101,0,0,804,599,1023,1023,-1
304,0,0,8142,-103,0,0,803,599,1023,1023,-1
308,0,0,8142,-104,0,0,803,598,1023,1023,-1
312,0,0,8156,-106,0,0,804,595,1023,1023,-1
316,0,0,8156,-108,0,0,803,602,1023,1023,-1
320,0,0,8156,-110,0,0,803,607,1023,1023,-1
324,0,0,8142,-111,0,0,803,601,1023,1023,-1
328,0,0,8142,-113,0,0,803,603,1023,1023,-1
332,0,0,8128,-115,0,0,804,601,1023,1023,-1
336,0,0,8128,-117,0,0,803,600,1023,1023,-1
340,0,0,8128,-118,0,0,803,600,1023,1023,-1
344,0,0,8128,-120,0,0,803,601,1023,1023,-1
348,0,0,8128,-122,0,0,804,603,1023,1023,-1
352,0,0,8128,-124,0,0,804,603,1023,1023,-1
356,0,0,8128,-125,0,0,804,603,1023,1023,-1
