Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8211,0,0,0,630,585,1023,1023,-1
4,0,0,8197,0,0,0,630,582,1023,1023,-1
8,0,0,8197,0,0,0,629,582,1023,1023,-1
12,0,0,7782,0,0,0,629,583,1023,1023,-1
16,0,0,7782,0,0,0,629,578,1023,1023,-1
20,0,0,7782,1,0,0,629,578,1023,1023,-1
24,0,0,7796,2,0,0,630,577,1023,1023,-1
28,0,0,7796,3,0,0,629,578,1023,1023,-1
32,0,0,7768,5,0,0,630,578,1023,1023,-1
36,0,0,7768,6,0,0,631,580,1023,1023,-1
40,0,0,7768,8,0,0,630,577,1023,1023,-1
44,0,0,7879,9,0,0,631,571,1023,1023,-1
48,0,0,7879,11,0,0,631,568,1023,1023,-1
52,0,0,7934,13,0,0,631,570,1023,1023,-1
56,0,0,7934,15,0,0,632,572,1023,1023,-1
60,0,0,7934,18,0,0,632,570,1023,1023,-1
64,0,0,7962,20,0,0,633,573,1023,1023,-1
68,0,0,7962,22,0,0,633,575,1023,1023,-1
72,0,0,8003,25,0,0,633,572,1023,1023,-1
76,0,0,8003,27,0,0,634,568,1023,1023,-1
80,0,0,8003,30,0,0,633,575,1023,1023,-1
84,0,0,8045,32,0,0,634,576,1023,1023,-1
88,0,0,8045,35,0,0,635,570,1023,1023,-1
92,0,0,8059,38,0,0,635,572,1023,1023,-1
96,0,0,8059,41,0,0,635,574,1023,1023,-1
100,0,0,8059,44,0,0,636,578,1023,1023,-1
104,0,0,8073,47,0,0,636,580,1023,1023,-1
108,0,0,8073,50,0,0,636,581,1023,1023,-1
112,0,0,8100,53,0,0,636,581,1023,1023,-1
116,0,0,8100,56,0,0,636,584,1023,1023,-1
120,0,0,8100,59,0,0,637,582,1023,1023,-1
124,0,0,8100,62,0,0,637,589,1023,1023,-1
128,0,0,8100,65,0,0,637,588,1023,1023,-1
132,0,0,8114,68,0,0,637,587,1023,1023,-1
136,0,0,8114,72,0,0,637,591,1023,1023,-1
140,0,0,8114,75,0,0,637,589,1023,1023,-1
144,0,0,8128,78,0,0,638,592,1023,1023,-1
148,0,0,8128,81,0,0,637,594,1023,1023,-1
152,0,0,8128,85,0,0,638,597,1023,1023,-1
156,0,0,8128,88,0,0,637,598,1023,1023,-1
160,0,0,8128,91,0,0,638,600,1023,1023,-1
164,0,0,8142,95,0,0,637,602,1023,1023,-1
168,0,0,8142,98,0,0,637,603,1023,1023,-1
172,0,0,8156,102,0,0,637,605,1023,1023,-1
176,0,0,8156,105,0,0,637,604,1023,1023,-1
180,0,0,8156,108,0,0,636,605,1023,1023,-1
184,0,0,8142,112,0,0,637,607,1023,1023,-1
188,0,0,8142,115,0,0,636,608,1023,1023,-1
192,0,0,8170,119,0,0,636,607,1023,1023,-1
196,0,0,8170,122,0,0,636,609,1023,1023,-1
200,0,0,8170,126,0,0,636,610,1023,1023,-1
204,0,0,8170,129,0,0,636,609,1023,1023,-1
208,0,0,8170,133,0,0,636,610,1023,1023,-1
212,0,0,8170,136,0,0,635,610,1023,1023,-1
216,0,0,8170,140,0,0,635,611,1023,1023,-1
220,0,0,8170,143,0,0,634,609,1023,1023,-1
224,0,0,8170,147,0,0,634,612,1023,1023,-1
228,0,0,8170,150,0,0,635,609,1023,1023,-1
232,0,0,8170,154,0,0,634,610,1023,1023,-1
236,0,0,8170,157,0,0,634,607,1023,1023,-1
240,0,0,8170,161,0,0,634,606,1023,1023,-1
244,0,0,8170,164,0,0,635,605,1023,1023,-1
248,0,0,8170,168,0,0,634,602,1023,1023,-1
252,0,0,8183,172,0,0,635,603,1023,1023,-1
256,0,0,8183,175,0,0,634,605,1023,1023,-1
260,0,0,8183,179,0,0,634,604,1023,1023,-1
264,0,0,8183,182,0,0,634,600,1023,1023,-1
268,0,0,8183,186,0,0,634,599,1023,1023,-1
272,0,0,8170,189,0,0,634,598,1023,1023,-1
276,0,0,8170,193,0,0,634,599,1023,1023,-1
280,0,0,8170,196,0,0,635,596,1023,1023,-1
284,0,0,8183,200,0,0,634,597,1023,1023,-1
288,0,0,8183,204,0,0,634,596,1023,1023,-1
292,0,0,8183,207,0,0,635,598,1023,1023,-1
296,0,0,8183,211,0,0,634,596,1023,1023,-1
300,0,0,8183,214,0,0,635,595,1023,1023,-1
304,0,0,8170,218,0,0,635,592,1023,1023,-1
308,0,0,8170,222,0,0,634,595,1023,1023,-1
312,0,0,8183,225,0,0,635,599,1023,1023,-1
316,0,0,8183,229,0,0,635,596,1023,1023,-1
