Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8862,0,0,0,849,598,1023,1023,-1
0,0,0,8862,0,0,0,849,598,1023,1023,-1
1,0,0,8890,0,0,0,849,598,1023,1023,-1
2,0,0,8890,0,0,0,849,598,1023,1023,-1
2,0,0,8890,0,0,0,849,598,1023,1023,-1
3,0,0,8890,0,0,0,849,598,1023,1023,-1
4,0,0,8890,0,0,0,849,598,1023,1023,-1
5,0,0,8890,0,0,0,849,598,1023,1023,-1
5,0,0,8890,0,0,0,849,598,1023,1023,-1
6,0,0,8890,0,0,0,849,598,1023,1023,-1
7,0,0,8890,0,0,0,849,598,1023,1023,-1
8,0,0,8890,0,0,0,849,598,1023,1023,-1
8,0,0,8890,0,0,0,849,598,1023,1023,-1
9,0,0,8890,0,0,0,849,598,1023,1023,-1
10,0,0,8890,0,0,0,849,598,1023,1023,-1
11,0,0,8904,0,0,0,849,598,1023,1023,-1
14,0,0,8904,0,0,0,849,599,1023,1023,-1
15,0,0,8904,0,0,0,849,599,1023,1023,-1
15,0,0,8904,0,0,0,849,599,1023,1023,-1
16,0,0,8904,0,0,0,849,599,1023,1023,-1
17,0,0,8904,0,0,0,849,599,1023,1023,-1
18,0,0,8904,0,0,0,849,599,1023,1023,-1
18,0,0,8904,0,0,0,849,599,1023,1023,-1
19,0,0,8904,0,0,0,849,599,1023,1023,-1
20,0,0,8904,0,0,0,849,599,1023,1023,-1
20,0,0,8904,0,0,0,849,599,1023,1023,-1
21,0,0,8876,0,0,0,849,599,1023,1023,-1
22,0,0,8876,0,0,0,849,598,1023,1023,-1
23,0,0,8876,0,0,0,849,598,1023,1023,-1
23,0,0,8876,0,0,0,849,598,1023,1023,-1
24,0,0,8876,0,0,0,849,598,1023,1023,-1
28,0,0,8876,0,0,0,850,599,1023,1023,-1
29,0,0,8876,0,0,0,850,599,1023,1023,-1
29,0,0,8876,0,0,0,850,599,1023,1023,-1
30,0,0,8876,0,0,0,850,599,1023,1023,-1
31,0,0,8876,0,0,0,850,599,1023,1023,-1
31,0,0,8876,0,0,0,850,599,1023,1023,-1
32,0,0,8876,0,0,0,849,599,1023,1023,-1
33,0,0,8876,0,0,0,849,599,1023,1023,-1
34,0,0,8876,0,0,0,849,599,1023,1023,-1
34,0,0,8876,0,0,0,849,599,1023,1023,-1
35,0,0,8876,0,0,0,849,599,1023,1023,-1
36,0,0,8876,0,0,0,849,599,1023,1023,-1
37,0,0,8876,0,0,0,849,599,1023,1023,-1
37,0,0,8876,0,0,0,849,599,1023,1023,-1
38,0,0,8876,0,0,0,849,599,1023,1023,-1
39,0,0,8876,0,0,0,849,599,1023,1023,-1
52,0,0,8890,0,0,0,849,599,1023,1023,-1
52,0,0,8890,0,0,0,849,599,1023,1023,-1
53,0,0,8890,0,0,0,849,599,1023,1023,-1
54,0,0,8890,0,0,0,849,599,1023,1023,-1
55,0,0,8890,0,0,0,849,599,1023,1023,-1
55,0,0,8890,0,0,0,849,599,1023,1023,-1
56,0,0,8890,0,0,0,849,599,1023,1023,-1
57,0,0,8890,0,0,0,849,599,1023,1023,-1
58,0,0,8890,0,0,0,849,599,1023,1023,-1
58,0,0,8890,0,0,0,849,599,1023,1023,-1
59,0,0,8890,0,0,0,849,599,1023,1023,-1
60,0,0,8890,0,0,0,849,599,1023,1023,-1
61,0,0,8862,0,0,0,849,599,1023,1023,-1
61,0,0,8862,0,0,0,849,599,1023,1023,-1
62,0,0,8862,0,0,0,850,599,1023,1023,-1
71,0,0,8876,0,0,0,849,599,1023,1023,-1
72,0,0,8876,0,0,0,849,599,1023,1023,-1
73,0,0,8876,0,0,0,849,599,1023,1023,-1
74,0,0,8876,0,0,0,849,599,1023,1023,-1
74,0,0,8876,0,0,0,849,599,1023,1023,-1
75,0,0,8876,0,0,0,849,599,1023,1023,-1
76,0,0,8876,0,0,0,850,599,1023,1023,-1
76,0,0,8876,0,0,0,850,599,1023,1023,-1
77,0,0,8876,0,0,0,850,599,1023,1023,-1
78,0,0,8876,0,0,0,850,599,1023,1023,-1
79,0,0,8876,0,0,0,850,599,1023,1023,-1
79,0,0,8876,0,0,0,850,599,1023,1023,-1
80,0,0,8876,0,0,0,849,599,1023,1023,-1
81,0,0,8890,0,0,0,849,599,1023,1023,-1
82,0,0,8890,0,0,0,849,599,1023,1023,-1
98,0,0,8890,0,0,0,849,598,1023,1023,-1
99,0,0,8890,0,0,0,849,598,1023,1023,-1
99,0,0,8890,0,0,0,849,598,1023,1023,-1
100,0,0,8890,0,0,0,849,598,1023,1023,-1
101,0,0,8876,0,0,0,849,598,1023,1023,-1
102,0,0,8876,0,0,0,849,598,1023,1023,-1
102,0,0,8876,0,0,0,849,598,1023,1023,-1
103,0,0,8876,0,0,0,849,598,1023,1023,-1
104,0,0,8876,0,0,0,849,599,1023,1023,-1
105,0,0,8876,0,0,0,849,599,1023,1023,-1
105,0,0,8876,0,0,0,849,599,1023,1023,-1
106,0,0,8876,0,0,0,850,599,1023,1023,-1
107,0,0,8876,0,0,0,850,599,1023,1023,-1
108,0,0,8876,0,0,0,850,599,1023,1023,-1
108,0,0,8876,0,0,0,850,599,1023,1023,-1
109,0,0,8876,0,0,0,850,599,1023,1023,-1
110,0,0,8876,0,0,0,849,598,1023,1023,-1
140,0,0,8876,0,0,0,849,598,1023,1023,-1
141,0,0,8890,0,0,0,849,598,1023,1023,-1
142,0,0,8890,0,0,0,849,599,1023,1023,-1
142,0,0,8890,0,0,0,849,599,1023,1023,-1
143,0,0,8890,0,0,0,849,599,1023,1023,-1
144,0,0,8890,0,0,0,849,599,1023,1023,-1
145,0,0,8890,0,0,0,849,599,1023,1023,-1
145,0,0,8890,0,0,0,849,599,1023,1023,-1
146,0,0,8890,0,0,0,849,599,1023,1023,-1
147,0,0,8890,0,0,0,849,599,1023,1023,-1
148,0,0,8890,0,0,0,849,599,1023,1023,-1
148,0,0,8890,0,0,0,849,599,1023,1023,-1
149,0,0,8890,0,0,0,849,599,1023,1023,-1
150,0,0,8890,0,0,0,849,599,1023,1023,-1
176,0,0,8890,0,0,0,849,599,1023,1023,-1
177,0,0,8890,0,0,0,849,599,1023,1023,-1
177,0,0,8890,0,0,0,849,599,1023,1023,-1
178,0,0,8890,0,0,0,849,599,1023,1023,-1
