Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8073,0,0,0,726,597,1023,1023,-1
0,0,0,8073,0,0,0,726,597,1023,1023,-1
1,0,0,8059,0,0,0,727,597,1023,1023,-1
2,0,0,8059,0,0,0,727,597,1023,1023,-1
2,0,0,8059,0,0,0,727,597,1023,1023,-1
3,0,0,8059,0,0,0,727,597,1023,1023,-1
4,0,0,8059,0,0,0,727,597,1023,1023,-1
5,0,0,8059,0,0,0,726,596,1023,1023,-1
5,0,0,8059,0,0,0,726,596,1023,1023,-1
6,0,0,8059,0,0,0,726,596,1023,1023,-1
7,0,0,8059,0,0,0,726,596,1023,1023,-1
8,0,0,8059,0,0,0,726,596,1023,1023,-1
8,0,0,8059,0,0,0,726,596,1023,1023,-1
9,0,0,8059,0,0,0,726,596,1023,1023,-1
10,0,0,8059,0,0,0,726,596,1023,1023,-1
11,0,0,7851,0,0,0,726,595,1023,1023,-1
12,0,0,7851,0,0,0,726,595,1023,1023,-1
13,0,0,7851,0,0,0,725,595,1023,1023,-1
14,0,0,7851,0,0,0,725,595,1023,1023,-1
15,0,0,7851,0,0,0,725,595,1023,1023,-1
15,0,0,7851,0,1,0,725,595,1023,1023,-1
16,0,0,7851,0,1,0,725,595,1023,1023,-1
17,0,0,7851,0,1,0,725,596,1023,1023,-1
18,0,0,7851,0,1,0,725,596,1023,1023,-1
18,0,0,7851,0,1,0,725,596,1023,1023,-1
19,0,0,7851,0,1,0,725,598,1023,1023,-1
20,0,0,7851,0,1,0,725,598,1023,1023,-1
20,0,0,7851,0,1,0,725,598,1023,1023,-1
21,0,0,7893,0,1,0,725,598,1023,1023,-1
22,0,0,7893,0,1,0,725,598,1023,1023,-1
23,0,0,7893,0,1,0,725,599,1023,1023,-1
25,0,0,7893,0,2,0,725,599,1023,1023,-1
26,0,0,7893,0,2,0,725,599,1023,1023,-1
26,0,0,7893,0,2,0,725,599,1023,1023,-1
27,0,0,7893,0,2,0,725,599,1023,1023,-1
28,0,0,7893,0,2,0,725,599,1023,1023,-1
29,0,0,7893,0,3,0,725,599,1023,1023,-1
29,0,0,7893,0,3,0,725,599,1023,1023,-1
30,0,0,7893,0,3,0,725,599,1023,1023,-1
31,0,0,7893,0,3,0,725,599,1023,1023,-1
